zip3,share_black,share_hispanic,poverty_rate,median_income_approx,total_pop,income_decile,poverty_decile,high_black
650,0.0107513472579547,0.0185968667475751,0.1467692315432373,-44783.62048248414,154688.25,3.0,5.0,0
651,0.1229934422730656,0.0265809358861369,0.1255539647801299,53210.218450776825,68708.0,8.0,3.0,0
652,0.0763488022346779,0.0264752403679271,0.1871261026037966,46036.47212571441,264904.0,7.0,8.0,0
653,0.0316425573815705,0.0595032586797163,0.1788445186898447,38612.90346591987,103762.0,5.0,7.0,0
654,0.0383892395441713,0.046460379674921,0.1881796495485848,-296369.14935497363,94884.25,1.0,8.0,0
655,0.0334544807455952,0.0276576697416799,0.1697507060298217,-76916.15972586807,122055.75,2.0,7.0,0
656,0.0050097507795198,0.0269204246637408,0.1785562569968507,39665.867247418224,211533.0,6.0,7.0,0
657,0.0043736313703721,0.0321885604004723,0.1691834149730053,-125399.45031370757,288352.75,2.0,7.0,0
658,0.0339964807614712,0.0332712418305788,0.2007628728057403,40538.00382404025,221301.25,6.0,9.0,0
660,0.0418036825467935,0.0620846549861276,0.1103656000718186,4715.802516743925,484881.75,4.0,3.0,0
661,0.2592967134388917,0.2702303909310058,0.2404741338605566,40835.76890607913,150543.75,6.0,10.0,1
662,0.041713288706031,0.0619849774760894,0.0620085128363575,78614.36729536214,374228.5,10.0,1.0,0
664,0.0868322850202196,0.0819099474744395,0.1240434408597381,48126.67927369043,84503.5,7.0,3.0,0
665,0.0288182121051783,0.0458869700089318,0.1565550743918638,-27209.76565104857,130330.0,3.0,6.0,0
666,0.0854712067038277,0.1144974728878767,0.1698249487434269,-518.7704377212358,163349.25,4.0,7.0,0
667,0.0148771084974818,0.0337790061172312,0.1818696692206901,-97475.37282838528,117968.5,2.0,8.0,0
668,0.012443318440745,0.1265408383821712,0.1697781975315218,42306.40570787846,60611.75,6.0,7.0,0
669,0.0035508754874125,0.022703880267115,0.1359997884382961,40822.402824114535,25290.75,6.0,4.0,0
670,0.0136580110062132,0.0536331151580368,0.0995086653958443,9601.667449393295,183115.25,4.0,2.0,0
671,0.0115031223529661,0.0664972332659009,0.1075014672156427,52247.41097936191,112759.0,8.0,2.0,0
672,0.1054166147983159,0.1466384543215772,0.1652940858876089,50204.43094721985,409328.0,8.0,7.0,0
673,0.0443585671609438,0.0471769265774406,0.1713993070499067,-205560.73256622584,62429.0,2.0,7.0,0
674,0.0176093593775412,0.0599403492446799,0.1254485476428557,48431.06608354034,137700.0,7.0,3.0,0
675,0.0221328876742977,0.0950759272352551,0.1280797127736462,-8431.57900949755,123005.5,4.0,4.0,0
676,0.0115182069058366,0.0340775498160622,0.1408017806610491,42927.57644173298,59203.25,6.0,5.0,0
677,0.0077570333700506,0.050703773816092,0.1209724979057175,43675.85944608232,31040.5,6.0,3.0,0
678,0.0127717932591622,0.3908992049120754,0.1362847235234604,50735.71155685096,116857.75,8.0,4.0,0
679,0.0274188026697412,0.4890240928554377,0.1633874727238445,49092.23633842486,31249.25,8.0,6.0,0
680,0.018784717574124,0.0479454635906923,0.0875588034963973,64171.25170663958,198365.5,10.0,1.0,0
681,0.103816846057508,0.1123625140441593,0.1309285747881875,57734.78671090887,589917.75,9.0,4.0,0
683,0.0033275413036285,0.0518702622373802,0.1130040176856478,49693.974937494975,81268.0,8.0,3.0,0
684,0.0075586190766451,0.0388119278466122,0.0904719781082729,55056.98024351386,71743.5,9.0,2.0,0
685,0.0377326713989367,0.0619320642017936,0.1547701066508909,-2965.993343551935,269039.75,4.0,6.0,0
686,0.0036961071367368,0.1292427871886048,0.1014558383315078,50716.56022770506,73461.5,8.0,2.0,0
687,0.0114984629800637,0.1155591947002607,0.1283655900216576,46420.066772294114,129018.0,7.0,4.0,0
688,0.0146921711931114,0.1549055318605667,0.1301695006646293,49059.33175396721,164954.75,8.0,4.0,0
689,0.0044654049862958,0.0563411287078975,0.116107003583449,46806.86896213463,73113.5,7.0,3.0,0
690,0.0041167929301564,0.0469748425073724,0.1136980951249162,44632.95704129669,25509.0,7.0,3.0,0
691,0.0050145618503717,0.0633727314286793,0.1103206356907747,-11425.177580246223,79542.75,3.0,3.0,0
692,0.0013904729901545,0.0205618578088687,0.1106264248688592,41265.67845609645,8451.5,6.0,3.0,0
693,0.0053361019307899,0.1461628849570385,0.1640681658838327,-329923.3256702954,70224.25,1.0,6.0,0
700,0.2912546348418883,0.1076016537022585,0.1582990097238354,-1764.308994606242,569067.75,4.0,6.0,1
701,0.5492393793229138,0.0546856838234366,0.2540636159070262,40400.13259296096,385610.5,6.0,10.0,1
703,0.2015298244356405,0.0415391170002169,0.1713200575164019,-72084.41798855134,277849.75,3.0,7.0,1
704,0.1986512968474457,0.0389280108160693,0.1612801717800625,-8706.852095227683,426988.0,4.0,6.0,1
705,0.2732717203966051,0.0287792143500172,0.1949154608211393,-203476.10256183,626754.75,2.0,8.0,1
706,0.2135728981105068,0.0264004133093021,0.1652485910486033,45649.60871063345,262924.25,7.0,7.0,1
707,0.2456335574637997,0.0295995280192518,0.1295462099588846,-51033.54775454189,401691.5,3.0,4.0,1
708,0.4616444773661919,0.0401117701838845,0.2028636062830255,4748.318650270235,377234.25,4.0,9.0,1
710,0.3034972657649741,0.023228324566489,0.1876007062149909,42380.56526798924,180752.5,6.0,8.0,1
711,0.4369099059715974,0.0364137773189301,0.1931799822190621,44459.209758247496,303520.0,7.0,8.0,1
712,0.3790073614536657,0.0197669986169705,0.2573790617533225,-69292.3142587388,336747.5,3.0,10.0,1
713,0.3499178622071554,0.0180409051321365,0.2274015843598987,-94425.97705034987,202536.75,2.0,10.0,1
714,0.2144347520564726,0.0470174054148,0.1918122270267629,-25799.45916111688,193710.0,3.0,8.0,1
716,0.42576295436142,0.0344777221972879,0.2474350710982356,34839.36070782308,167717.75,5.0,10.0,1
717,0.3594369035227843,0.0266750784630026,0.2185805231858085,35355.15458764545,108520.25,5.0,9.0,1
718,0.2287191606387496,0.087829154363812,0.2181029771398374,-70029.36872670532,127271.75,3.0,9.0,1
719,0.0734223449255326,0.0466035836430506,0.2013524297480868,-24951.40157764565,170543.75,3.0,9.0,0
720,0.109176222306332,0.0400603902062594,0.1509039970152573,5459.4690311273625,385274.25,4.0,5.0,0
721,0.1788328393271247,0.0381087252536129,0.1594143577523012,4923.278949224899,313176.0,4.0,6.0,1
722,0.3948493998736543,0.0587375356103941,0.1724793477457561,49673.70815172378,214877.75,8.0,7.0,1
723,0.4605880702957582,0.0252462857936206,0.2662646819665727,-297686.6634065468,173097.75,1.0,10.0,1
724,0.0650841406136675,0.0311989587624153,0.206185881838586,37823.45723281949,222275.25,5.0,9.0,0
725,0.0120481084020332,0.0299146552648612,0.2178491854899076,-177854.50722475053,106238.25,2.0,9.0,0
726,0.0027583405230737,0.0404271306413613,0.1754378680371311,-57288.08517817193,137931.75,3.0,7.0,0
727,0.0210406295658688,0.152228328538085,0.1594832542216497,37086.65154201808,443920.0,5.0,6.0,0
728,0.0227522907243084,0.0970183878300064,0.1935375036184085,-79191.4278572863,123385.0,2.0,8.0,0
729,0.03689324264869,0.09142860307147,0.2003079751426087,40625.05610623036,228963.5,6.0,9.0,0
730,0.0473859263374469,0.0578645097456536,0.1265167673328973,50939.34042080141,682725.75,8.0,4.0,0
731,0.1486844665230594,0.1727392947581538,0.1865996371339402,45903.0568697656,646047.25,7.0,8.0,0
734,0.0416145392487929,0.0742642956894415,0.1643112777026642,40936.66581477629,92977.25,6.0,6.0,0
735,0.1158640865368489,0.1260018003784237,0.1707616666850486,44185.901462531314,212002.5,6.0,7.0,0
736,0.0279762107665348,0.1255050109611414,0.1557724492089067,45931.36746642397,59695.25,7.0,6.0,0
737,0.027200296987405,0.0925211739964858,0.1353329603576008,-794.6199472937774,107009.75,4.0,4.0,0
738,0.0085800420214854,0.1041028773580176,0.1354078646563023,49865.712884229,32552.75,8.0,4.0,0
739,0.0103903949010082,0.3695568289642538,0.1332750491254514,48272.95219155218,28611.5,7.0,4.0,0
740,0.0251329695350467,0.0438229028605333,0.1212482115417875,53735.592302929785,592529.75,9.0,3.0,0
741,0.1445912623746086,0.1366726993142599,0.1942282703964423,44326.45529580172,415290.75,7.0,8.0,0
743,0.0076544426536938,0.0337945644741581,0.2000685389659413,18906.643063127303,130349.0,4.0,9.0,0
744,0.0641797538235667,0.0461555961204181,0.208182853358751,38491.18132445883,223076.0,5.0,9.0,0
745,0.0271012834589378,0.0381327928172931,0.2019876678974445,38366.45425289501,86123.5,5.0,9.0,0
746,0.0161652440341024,0.0594727376559613,0.1782356202957863,42492.00336508996,56110.0,6.0,7.0,0
747,0.0581288165419039,0.046112175637353,0.2288305017331528,-226336.08713214804,88292.0,2.0,10.0,0
748,0.0318171554917536,0.0384385964512528,0.1910282151469993,40989.51173044789,198674.75,6.0,8.0,0
749,0.0164457371208214,0.0531957434043163,0.2248650657881651,35615.41295584185,114761.5,5.0,10.0,0
750,0.0993306464706541,0.2402426671246242,0.0998414630137514,74674.73746178701,2117510.5,10.0,2.0,0
751,0.2282693822957042,0.234304550404815,0.1424638171058456,54659.10883771956,749904.0,9.0,5.0,1
752,0.2316884070896758,0.4109297550942303,0.2297269371123099,48796.28092336266,1283906.75,8.0,10.0,1
753,,,,,0.0,,,0
754,0.081922147660097,0.1470739384465081,0.1723243852551779,19884.68134088816,336543.25,4.0,7.0,0
755,0.2165767256975528,0.0596543460958869,0.1866279969183384,-92271.16145866989,126490.25,2.0,8.0,1
756,0.1881791024115603,0.1325853878728551,0.1651934996527129,-50093.20741685947,336011.25,3.0,6.0,1
757,0.1454540586393645,0.1622709311178224,0.174454564280409,46035.30751570571,348450.5,7.0,7.0,0
758,0.1939512016188644,0.1434645618652146,0.1853667372204241,-318022.0126063207,126837.0,1.0,8.0,1
759,0.1792403634195349,0.1498774295152328,0.216529300161759,37867.45857753432,258123.0,5.0,9.0,1
760,0.0937051127816816,0.1890329723122165,0.1212198503813594,3434.9691596719586,1157815.75,4.0,3.0,0
761,0.1604279876968409,0.3326195025167809,0.181918055444293,51440.29531285619,919366.0,8.0,8.0,0
762,0.0535996413298449,0.1555968334509079,0.1043650217191366,70058.78329851443,447655.0,10.0,2.0,0
763,0.0855093923986199,0.1652297614727264,0.1526978092499776,45722.88287924684,173177.0,7.0,5.0,0
764,0.0139609519162253,0.1762980896577896,0.1847368212689457,-222883.49586111744,143227.75,2.0,8.0,0
765,0.1691802701215399,0.2137320885933546,0.1479035193010575,3644.726064241553,477560.75,4.0,5.0,0
766,0.0897491032019691,0.1595131617633127,0.150974869145402,28325.541894828624,160547.5,5.0,5.0,0
767,0.1802482407730603,0.2791394266380146,0.2596432853059749,37884.64587383359,172369.25,5.0,10.0,1
768,0.024715092760563,0.242151015817859,0.1922124822777178,-1614923.3291452827,88397.0,1.0,8.0,0
769,0.0347615359298769,0.3811050255380681,0.1572337510359008,-535172.7190073245,130854.0,1.0,6.0,0
770,0.2213079380025199,0.4413403695611839,0.2081343630640428,52989.92234950756,2940978.0,8.0,9.0,1
772,,,,,0.0,,,0
773,0.0956803879166229,0.2107238881592921,0.1152447869947565,30836.878995508785,1096632.5,5.0,3.0,0
774,0.1530704473961358,0.2562067752586083,0.0937848928982955,-122016.20417479596,1029174.5,2.0,2.0,0
775,0.1172036812392782,0.3359364912335496,0.1421696666718614,63014.30605367813,1152209.75,9.0,5.0,0
776,0.1243079402996475,0.1197468821740939,0.1561888354867278,48733.61052296647,271114.75,8.0,6.0,0
777,0.4292464180837428,0.1425879014378976,0.208187473142031,44011.83985798285,142918.25,6.0,9.0,1
778,0.1263009655032979,0.2130614339046313,0.2521536122215911,-35362.465486502246,298932.25,3.0,10.0,0
779,0.0607590866540462,0.3869339455715557,0.1561298077550139,-470947.57589251833,165250.5,1.0,6.0,0
780,0.0086046118635871,0.6773347472247582,0.2239806237245895,-57356.77092929215,544015.25,3.0,9.0,0
781,0.0658500561954862,0.3666813642995601,0.1184770720738533,16389.263207263746,390216.0,4.0,3.0,0
782,0.0666698448113141,0.5990146772296643,0.181089568214649,52375.205339022825,1614847.25,8.0,8.0,0
783,0.015362972090151,0.6347492488301596,0.2034698332690558,36676.16604927544,233171.5,5.0,9.0,0
784,0.0404195692869551,0.600210532842705,0.1806799062837967,49808.78275938868,308641.25,8.0,8.0,0
785,0.003758326437234,0.9011742908797298,0.3514480497190185,14876.901315769115,1273666.0,4.0,10.0,0
786,0.0620232615435931,0.2923089053255759,0.1151736268821305,46013.064771401616,872153.75,7.0,3.0,0
787,0.0735070962995144,0.3254068795231621,0.1734765586531573,62241.146585328526,965525.0,9.0,7.0,0
788,0.0099374526011287,0.7983444985330039,0.2651172070651214,-140383.4962056472,176792.5,2.0,10.0,0
789,0.0888541998132021,0.2099060963518932,0.1344454763075902,-352130.59171723487,68207.75,1.0,4.0,0
790,0.0252926700182985,0.3990505032233712,0.1701460227568386,-275138.8639206263,225290.5,1.0,7.0,0
