zip3,share_black,share_hispanic,poverty_rate,median_income_approx,total_pop
304,0.3223816031254859,0.063097633039665,0.28625922605392395,33649.071072752995,224694.25
305,0.060822330014184925,0.13176574263309704,0.16690669694209792,28347.28534578872,629465.5
306,0.20777037197646075,0.06707903372858864,0.22438496103149808,20236.722975153105,385341.25
307,0.038062005968648074,0.13624042279769555,0.1790586571645139,41545.397344127654,366515.5
308,0.3391616021402992,0.0486737592404157,0.1684594799601276,53561.44034060815,191531.25
309,0.44511887733650723,0.03464845117182053,0.22128658767428752,41832.12940138122,200542.0
310,0.3556662250590724,0.04037290406505972,0.20942017008747826,28716.690406325128,540171.5
312,0.4931588912248143,0.028952645744651225,0.2444080154708355,-38113.99074378516,167982.5
313,0.25266257921508495,0.0607403353746499,0.13786147835005214,-113242.34523861439,207443.25
314,0.42046167620621083,0.05529860145740525,0.20013236634565812,45937.14465639423,239488.5
315,0.21780772519255104,0.0654769837697827,0.20304450903487603,42523.49073387831,335044.0
316,0.30665192943142167,0.06189006417300325,0.24461938901606128,37144.54161644471,191991.5
317,0.4129706252413365,0.056754939947175724,0.26395042161742893,35872.04340288452,371343.25
318,0.3116848616606718,0.034613173053240624,0.15906643927776268,51334.968117719836,86745.75
319,0.4395238743616392,0.0725633271086092,0.1963376891302125,41042.71227270724,193593.25
320,0.10967226059725972,0.061381719183223424,0.13531272563502403,55037.383406927715,602969.5
321,0.10339045955759572,0.06216949218731285,0.16674850308492298,-87750.46140587899,563870.5
322,0.27785129671122477,0.07632756443794642,0.15707140868477643,51351.77041018111,910082.75
323,0.31175130660964456,0.0579123316939727,0.22357016939998237,37737.5661335491,428743.75
324,0.12426469742937232,0.0471589051628708,0.16477532754847202,-45132.30080061108,341844.75
325,0.1390262577378094,0.054447969214898376,0.14605273251605835,-82038.28822431891,648272.25
326,0.16695494668099642,0.07617844092149748,0.22762159654732855,-188877.99113488742,358473.5
327,0.10491058965162023,0.16628252832476467,0.13442957233775502,52966.23089509074,943267.75
328,0.2150382907958146,0.2981657900980005,0.17581867593622946,44973.32348498284,894140.25
329,0.0916645967524056,0.09261777334004173,0.13050045915654712,50651.601079715256,618929.0
330,0.20954234600129748,0.45005123527546237,0.1696992796246538,43196.90230861737,1643006.5
331,0.17215216621163845,0.6218628331722498,0.1801314499706415,48882.210771752354,1906819.25
333,0.28282048469871013,0.22816879111836977,0.14623329811617072,55558.403420844494,779027.25
334,0.16764952654800808,0.19242107197118558,0.14311551098918074,54530.32250267738,1441045.25
335,0.09473376468782535,0.19078333888404808,0.12772815180387082,44128.80403650121,718573.0
336,0.19456506858479905,0.27946078200358787,0.19308821155906472,48588.04542202062,732756.75
337,0.11990981890150201,0.0849253847460935,0.1464430186608889,45188.10650083437,731414.5
338,0.13008054531427066,0.17866482436576378,0.1813662237253818,28319.408374396826,710179.0
339,0.0791931201741805,0.16712179393227083,0.14697248148113778,25001.55606308686,744065.75
341,0.0584692956379721,0.254412135205673,0.14219511363903667,8323.17919518657,378582.5
342,0.06475397233480955,0.11868571166690772,0.13603316722289605,-66197.20133666515,762867.0
344,0.09455087638076015,0.09433096145055272,0.17094779865751786,22625.20663270084,431700.75
346,0.03306966702779152,0.09210777028589555,0.130229855445167,39962.91080990256,653524.0
347,0.1169078043094821,0.30914873351118355,0.13965716143770143,51002.36002599535,618240.5
349,0.13892003149903817,0.16422295315873486,0.16804620280900906,46056.140916740536,444090.5
350,0.20431233913003094,0.0430230648824919,0.15948886668563753,-269631.6585993093,441821.5
351,0.13075650489764573,0.034247453355535445,0.1360053181409998,-34764.982613316744,325252.25
352,0.4382853439275376,0.042537451179948525,0.17915094056424583,37055.11105539971,494908.5
354,0.35280860712087747,0.028157312481106027,0.21322833915447972,-204305.31417558403,224391.0
