representation,model,grouping,fold,n_Low,AUC_Low,n_High,AUC_High,TPR_Low,TPR_High,gap_TPR,z_TPR,p_TPR,FPR_Low,FPR_High,gap_FPR,z_FPR,p_FPR,PPR_Low,PPR_High,gap_PPR,z_PPR,p_PPR,gap_AUC,q_TPR,q_FPR,q_PPR
tfidf_full,Logistic,SES_group,6,959,0.7155,507,0.6224,0.7356,0.7212,-0.0145,0.2632,0.7924,0.442,0.5112,0.0691,-2.2615,0.0237,0.4953,0.5542,0.0589,-2.1476,0.0317,-0.0931,0.8391,0.0369,0.0444
tfidf_full,Logistic,SES_group,7,1211,0.693,676,0.7371,0.5789,0.75,0.1711,-2.9438,0.0032,0.3125,0.3599,0.0474,-1.9301,0.0536,0.3501,0.4246,0.0744,-3.1993,0.0014,0.0441,0.0151,0.075,0.0024
tfidf_full,Logistic,SES_group,8,1715,0.678,838,0.717,0.7451,0.7812,0.0362,-0.8646,0.3873,0.4762,0.5015,0.0253,-1.081,0.2797,0.5242,0.5549,0.0307,-1.46,0.1443,0.039,0.5422,0.3012,0.1662
tfidf_full,Logistic,SES_group,9,2595,0.7154,1429,0.6922,0.6461,0.708,0.0619,-1.5598,0.1188,0.3317,0.4248,0.0931,-5.4037,0.0,0.3769,0.4696,0.0927,-5.7208,0.0,-0.0232,0.2376,0.0,0.0
tfidf_full,Logistic,SES_group,10,2711,0.7011,1356,0.7015,0.6075,0.6746,0.0671,-1.6096,0.1075,0.3228,0.3958,0.073,-4.2565,0.0,0.3619,0.4388,0.0769,-4.7476,0.0,0.0003,0.2376,0.0001,0.0
tfidf_full,Logistic,SES_group,11,3647,0.6993,1900,0.7227,0.6355,0.739,0.1035,-3.0202,0.0025,0.3446,0.4044,0.0598,-4.044,0.0001,0.3855,0.4563,0.0708,-5.0878,0.0,0.0234,0.0151,0.0001,0.0
tfidf_full,Logistic,SES_group,12,4705,0.7036,2608,0.7087,0.6705,0.7303,0.0598,-2.1338,0.0329,0.3733,0.4226,0.0493,-3.7892,0.0002,0.4168,0.4751,0.0583,-4.8127,0.0,0.0051,0.092,0.0004,0.0
tfidf_full,Logistic,SES_group,13,5686,0.6855,3003,0.7085,0.6392,0.7332,0.094,-3.5634,0.0004,0.3718,0.4313,0.0595,-4.9469,0.0,0.4112,0.4822,0.071,-6.3474,0.0,0.023,0.0051,0.0,0.0
tfidf_full,Logistic,SES_group,14,6707,0.7065,3399,0.7054,0.6494,0.6827,0.0334,-1.3151,0.1885,0.3245,0.3752,0.0507,-4.6688,0.0,0.3721,0.4239,0.0518,-5.0451,0.0,-0.0011,0.3298,0.0,0.0
tfidf_full,XGBoost,BlackConcentration,1,180,0.5663,460,0.6971,0.3333,0.5735,0.2402,-2.2645,0.0235,0.3197,0.2832,-0.0366,0.8306,0.4062,0.3222,0.3261,0.0039,-0.0939,0.9252,0.1308,0.1648,0.774,0.9849
tfidf_full,XGBoost,BlackConcentration,2,186,0.7508,554,0.6497,0.5909,0.4464,-0.1445,1.1488,0.2506,0.2317,0.243,0.0113,-0.2929,0.7696,0.2742,0.2635,-0.0107,0.2845,0.776,-0.1012,0.7162,0.8288,0.963
tfidf_full,XGBoost,BlackConcentration,3,181,0.7006,661,0.6987,0.5833,0.5638,-0.0195,0.1721,0.8633,0.3376,0.3192,-0.0184,0.4352,0.6634,0.3702,0.354,-0.0162,0.4019,0.6878,-0.002,0.9297,0.774,0.963
tfidf_full,XGBoost,BlackConcentration,4,249,0.6618,841,0.7231,0.7436,0.6457,-0.0979,1.1364,0.2558,0.4143,0.3557,-0.0585,1.5455,0.1222,0.4659,0.3995,-0.0663,1.8664,0.062,0.0613,0.7162,0.4278,0.217
tfidf_full,XGBoost,BlackConcentration,5,293,0.7185,909,0.7518,0.5952,0.6617,0.0664,-0.7845,0.4327,0.3108,0.3067,-0.0041,0.121,0.9037,0.3515,0.3586,0.0071,-0.2206,0.8254,0.0334,0.7596,0.9037,0.963
tfidf_full,XGBoost,BlackConcentration,6,349,0.7046,1002,0.6844,0.7667,0.7292,-0.0375,0.5767,0.5642,0.4602,0.4444,-0.0158,0.4626,0.6437,0.5129,0.499,-0.0139,0.447,0.6549,-0.0202,0.8742,0.774,0.963
tfidf_full,XGBoost,BlackConcentration,7,428,0.7003,1276,0.6962,0.6875,0.6335,-0.054,0.7822,0.4341,0.3791,0.3207,-0.0584,2.0415,0.0412,0.4252,0.3676,-0.0577,2.1252,0.0336,-0.0041,0.7596,0.4067,0.1567
tfidf_full,XGBoost,BlackConcentration,8,555,0.6727,1783,0.6795,0.6857,0.7486,0.0628,-1.2763,0.2018,0.4622,0.4857,0.0235,-0.8712,0.3837,0.5045,0.5367,0.0322,-1.3284,0.184,0.0068,0.7162,0.774,0.5153
tfidf_full,XGBoost,BlackConcentration,9,1020,0.7271,2715,0.7083,0.7343,0.7549,0.0206,-0.4896,0.6244,0.4333,0.4203,-0.013,0.6616,0.5082,0.4755,0.4711,-0.0044,0.2402,0.8102,-0.0189,0.8742,0.774,0.963
tfidf_full,XGBoost,BlackConcentration,10,1012,0.6757,2694,0.6978,0.6187,0.6337,0.015,-0.3198,0.7491,0.3872,0.3517,-0.0355,1.8507,0.0642,0.419,0.3983,-0.0207,1.1431,0.253,0.0221,0.9297,0.4067,0.5903
tfidf_full,XGBoost,BlackConcentration,11,1378,0.6774,3563,0.6831,0.6588,0.6667,0.0078,-0.1884,0.8506,0.4106,0.4016,-0.0089,0.536,0.5919,0.4412,0.4409,-0.0003,0.019,0.9849,0.0057,0.9297,0.774,0.9849
tfidf_full,XGBoost,BlackConcentration,12,1792,0.7048,4898,0.7013,0.7348,0.7342,-0.0006,0.0194,0.9845,0.4254,0.4348,0.0094,-0.635,0.5254,0.471,0.4843,0.0133,-0.964,0.335,-0.0035,0.9845,0.774,0.6701
tfidf_full,XGBoost,BlackConcentration,13,2170,0.6825,5628,0.7024,0.6906,0.7201,0.0296,-0.9929,0.3207,0.4053,0.4284,0.0231,-1.7106,0.0872,0.4456,0.4765,0.0309,-2.4526,0.0142,0.0198,0.7484,0.4067,0.0993
tfidf_full,XGBoost,BlackConcentration,14,2684,0.6865,6570,0.7067,0.615,0.6841,0.0691,-2.4916,0.0127,0.3555,0.3718,0.0163,-1.36,0.1738,0.3942,0.4219,0.0277,-2.4577,0.014,0.0202,0.1648,0.4867,0.0993
