representation,model,grouping,fold,n_Low,AUC_Low,n_High,AUC_High,TPR_Low,TPR_High,gap_TPR,z_TPR,p_TPR,FPR_Low,FPR_High,gap_FPR,z_FPR,p_FPR,PPR_Low,PPR_High,gap_PPR,z_PPR,p_PPR,gap_AUC,q_TPR,q_FPR,q_PPR
structured,XGBoost,SES_group,14,6707,0.7089,3399,0.7089,0.6291,0.6994,0.0704,-2.7609,0.0058,0.3344,0.3853,0.0509,-4.6536,0.0,0.3777,0.4351,0.0575,-5.5781,0.0,0.0,0.0269,0.0,0.0
tfidf_full,Logistic,BlackConcentration,1,180,0.6298,460,0.7047,0.6667,0.7059,0.0392,-0.4008,0.6886,0.4286,0.3954,-0.0332,0.6987,0.4848,0.4722,0.4413,-0.0309,0.7069,0.4796,0.075,0.8764,0.7171,0.6664
tfidf_full,Logistic,BlackConcentration,2,186,0.7126,554,0.6675,0.6364,0.5357,-0.1006,0.8067,0.4199,0.3049,0.3012,-0.0037,0.0889,0.9292,0.3441,0.3249,-0.0192,0.4813,0.6303,-0.0451,0.8764,0.9292,0.7353
tfidf_full,Logistic,BlackConcentration,3,181,0.7168,661,0.7064,0.625,0.6809,0.0559,-0.5192,0.6037,0.3312,0.3721,0.0409,-0.9435,0.3454,0.3702,0.416,0.0459,-1.1134,0.2656,-0.0104,0.8764,0.6045,0.4131
tfidf_full,Logistic,BlackConcentration,4,249,0.637,841,0.7207,0.641,0.6772,0.0361,-0.4194,0.6749,0.419,0.3627,-0.0563,1.4811,0.1386,0.4538,0.4102,-0.0436,1.2241,0.2209,0.0837,0.8764,0.3378,0.3866
tfidf_full,Logistic,BlackConcentration,5,293,0.7561,909,0.7566,0.7381,0.6992,-0.0388,0.483,0.6291,0.3068,0.3222,0.0154,-0.455,0.6491,0.3686,0.3773,0.0087,-0.2686,0.7882,0.0005,0.8764,0.7401,0.7882
tfidf_full,Logistic,BlackConcentration,6,349,0.6913,1002,0.6989,0.7667,0.7708,0.0042,-0.0669,0.9466,0.474,0.4543,-0.0197,0.5777,0.5634,0.5244,0.515,-0.0094,0.3022,0.7625,0.0076,0.9466,0.7171,0.7882
tfidf_full,Logistic,BlackConcentration,7,428,0.7015,1276,0.7058,0.7031,0.6545,-0.0487,0.7149,0.4747,0.3819,0.3373,-0.0445,1.5432,0.1228,0.4299,0.3848,-0.0451,1.6512,0.0987,0.0043,0.8764,0.3378,0.2303
tfidf_full,Logistic,BlackConcentration,8,555,0.6814,1783,0.6804,0.6952,0.7659,0.0707,-1.4635,0.1433,0.4644,0.5038,0.0394,-1.4582,0.1448,0.5081,0.5547,0.0466,-1.9237,0.0544,-0.0011,0.5017,0.3378,0.1904
tfidf_full,Logistic,BlackConcentration,9,1020,0.7123,2715,0.7025,0.6853,0.6942,0.0089,-0.1977,0.8433,0.3683,0.376,0.0077,-0.4026,0.6872,0.4127,0.4243,0.0116,-0.6378,0.5236,-0.0098,0.9081,0.7401,0.6664
tfidf_full,Logistic,BlackConcentration,10,1012,0.6653,2694,0.7076,0.5612,0.6629,0.1018,-2.1803,0.0292,0.3574,0.3699,0.0126,-0.6534,0.5135,0.3854,0.4183,0.033,-1.8182,0.069,0.0424,0.1364,0.7171,0.1933
tfidf_full,Logistic,BlackConcentration,11,1378,0.694,3563,0.6878,0.6588,0.6705,0.0116,-0.28,0.7795,0.37,0.3868,0.0168,-1.0156,0.3098,0.4057,0.4289,0.0232,-1.4801,0.1389,-0.0063,0.9081,0.6045,0.2777
tfidf_full,Logistic,BlackConcentration,12,1792,0.7091,4898,0.7058,0.6818,0.7206,0.0388,-1.2085,0.2269,0.3815,0.4182,0.0367,-2.487,0.0129,0.4258,0.4682,0.0424,-3.0809,0.0021,-0.0032,0.6352,0.0601,0.0096
