model,grouping,metric,comparison,fold,gap_structured,gap_tfidf_full,delta,gap_finbert_pca50
Logistic,SES_group,TPR,tfidf_full - structured,9,0.0191,0.0574,0.0383,
Logistic,SES_group,TPR,tfidf_full - structured,10,0.0495,0.0671,0.0176,
Logistic,SES_group,TPR,tfidf_full - structured,11,0.0666,0.1055,0.0389,
Logistic,SES_group,TPR,tfidf_full - structured,12,0.0516,0.0598,0.0082,
Logistic,SES_group,TPR,tfidf_full - structured,13,0.0786,0.0952,0.0166,
Logistic,SES_group,TPR,tfidf_full - structured,14,0.0471,0.0421,-0.005,
Logistic,SES_group,FPR,tfidf_full - structured,1,0.0363,0.0287,-0.0076,
Logistic,SES_group,FPR,tfidf_full - structured,2,0.0862,0.0698,-0.0164,
Logistic,SES_group,FPR,tfidf_full - structured,3,0.1269,0.1302,0.0033,
Logistic,SES_group,FPR,tfidf_full - structured,4,-0.006,-0.0045,0.0015,
Logistic,SES_group,FPR,tfidf_full - structured,5,0.081,0.0709,-0.0101,
Logistic,SES_group,FPR,tfidf_full - structured,6,0.0855,0.0692,-0.0163,
Logistic,SES_group,FPR,tfidf_full - structured,7,0.0342,0.0447,0.0105,
Logistic,SES_group,FPR,tfidf_full - structured,8,0.0373,0.023,-0.0143,
Logistic,SES_group,FPR,tfidf_full - structured,9,0.0789,0.0918,0.0129,
Logistic,SES_group,FPR,tfidf_full - structured,10,0.0714,0.0722,0.0008,
Logistic,SES_group,FPR,tfidf_full - structured,11,0.0577,0.061,0.0033,
Logistic,SES_group,FPR,tfidf_full - structured,12,0.0435,0.0505,0.007,
Logistic,SES_group,FPR,tfidf_full - structured,13,0.0602,0.0593,-0.0009,
Logistic,SES_group,FPR,tfidf_full - structured,14,0.0453,0.0509,0.0056,
Logistic,SES_group,PPR,tfidf_full - structured,1,0.0459,0.035,-0.0109,
Logistic,SES_group,PPR,tfidf_full - structured,2,0.0956,0.0754,-0.0202,
Logistic,SES_group,PPR,tfidf_full - structured,3,0.1359,0.1299,-0.006,
Logistic,SES_group,PPR,tfidf_full - structured,4,0.0288,0.0288,0.0,
Logistic,SES_group,PPR,tfidf_full - structured,5,0.0736,0.0629,-0.0107,
Logistic,SES_group,PPR,tfidf_full - structured,6,0.0762,0.058,-0.0182,
Logistic,SES_group,PPR,tfidf_full - structured,7,0.055,0.0721,0.0171,
Logistic,SES_group,PPR,tfidf_full - structured,8,0.0457,0.0307,-0.015,
Logistic,SES_group,PPR,tfidf_full - structured,9,0.0741,0.0909,0.0168,
Logistic,SES_group,PPR,tfidf_full - structured,10,0.0729,0.0762,0.0033,
Logistic,SES_group,PPR,tfidf_full - structured,11,0.0633,0.0721,0.0088,
Logistic,SES_group,PPR,tfidf_full - structured,12,0.0522,0.0593,0.0071,
Logistic,SES_group,PPR,tfidf_full - structured,13,0.0691,0.071,0.0019,
Logistic,SES_group,PPR,tfidf_full - structured,14,0.0492,0.0533,0.0041,
Logistic,SES_group,AUC,tfidf_full - structured,1,-0.0121,-0.0155,-0.0034,
Logistic,SES_group,AUC,tfidf_full - structured,2,-0.0786,-0.065,0.0136,
Logistic,SES_group,AUC,tfidf_full - structured,3,-0.0934,-0.1046,-0.0112,
Logistic,SES_group,AUC,tfidf_full - structured,4,0.1199,0.1208,0.0009,
Logistic,SES_group,AUC,tfidf_full - structured,5,-0.0175,-0.0213,-0.0038,
Logistic,SES_group,AUC,tfidf_full - structured,6,-0.089,-0.0929,-0.0039,
Logistic,SES_group,AUC,tfidf_full - structured,7,0.0344,0.045,0.0106,
Logistic,SES_group,AUC,tfidf_full - structured,8,0.0321,0.0391,0.007,
Logistic,SES_group,AUC,tfidf_full - structured,9,-0.024,-0.0234,0.0006,
Logistic,SES_group,AUC,tfidf_full - structured,10,-0.0046,0.0004,0.005,
Logistic,SES_group,AUC,tfidf_full - structured,11,0.0199,0.0234,0.0035,
Logistic,SES_group,AUC,tfidf_full - structured,12,0.0042,0.0052,0.001,
Logistic,SES_group,AUC,tfidf_full - structured,13,0.0239,0.023,-0.0009,
Logistic,SES_group,AUC,tfidf_full - structured,14,0.0004,-0.0006,-0.001,
