representation,model,grouping,fold,group_level,n,n_defaults,intercept,slope,ECE
tfidf_full,Logistic,BlackConcentration,14,High,6570,1054,-1.6698,0.9183,0.2995
tfidf_full,RandomForest,SES_group,1,Low,515,76,-1.6474,2.4507,0.3311
tfidf_full,RandomForest,SES_group,1,High,214,35,-1.5791,1.8422,0.3216
tfidf_full,RandomForest,BlackConcentration,1,Low,180,33,-1.4032,1.897,0.2976
tfidf_full,RandomForest,BlackConcentration,1,High,460,68,-1.6706,3.0773,0.3322
tfidf_full,RandomForest,SES_group,2,Low,561,52,-2.1338,3.5597,0.3791
tfidf_full,RandomForest,SES_group,2,High,263,41,-1.5326,2.2692,0.3162
tfidf_full,RandomForest,SES_group,3,Low,606,64,-1.956,3.0879,0.3436
tfidf_full,RandomForest,SES_group,3,High,292,58,-1.3008,1.3861,0.2716
tfidf_full,RandomForest,SES_group,4,Low,814,110,-1.6876,1.8721,0.3219
tfidf_full,RandomForest,SES_group,4,High,397,56,-1.6583,3.4572,0.3123
tfidf_full,RandomForest,BlackConcentration,4,Low,249,39,-1.5607,1.3836,0.3072
tfidf_full,RandomForest,BlackConcentration,4,High,841,127,-1.5758,2.2043,0.308
tfidf_full,RandomForest,SES_group,5,Low,910,134,-1.3942,2.0005,0.2822
tfidf_full,RandomForest,SES_group,5,High,430,63,-1.5292,1.8571,0.2977
tfidf_full,RandomForest,BlackConcentration,5,Low,293,42,-1.4354,1.9924,0.2848
tfidf_full,RandomForest,BlackConcentration,5,High,909,133,-1.4043,2.3198,0.2847
tfidf_full,RandomForest,SES_group,6,Low,959,174,-1.4036,2.1126,0.2835
tfidf_full,RandomForest,SES_group,6,High,507,104,-1.2939,1.1709,0.2701
tfidf_full,RandomForest,BlackConcentration,6,Low,349,60,-1.4763,2.0479,0.296
tfidf_full,RandomForest,BlackConcentration,6,High,1002,192,-1.3518,1.7741,0.2763
tfidf_full,RandomForest,SES_group,7,Low,1211,171,-1.5664,1.6557,0.304
tfidf_full,RandomForest,SES_group,7,High,676,112,-1.3662,1.9676,0.2842
tfidf_full,RandomForest,BlackConcentration,7,Low,428,64,-1.5317,2.1138,0.3027
tfidf_full,RandomForest,BlackConcentration,7,High,1276,191,-1.5043,1.6868,0.2982
tfidf_full,RandomForest,SES_group,8,Low,1715,306,-1.6607,2.1925,0.3215
tfidf_full,RandomForest,SES_group,8,High,838,160,-1.5936,2.6869,0.3065
tfidf_full,RandomForest,BlackConcentration,8,Low,555,105,-1.5729,2.3075,0.3074
tfidf_full,RandomForest,BlackConcentration,8,High,1783,346,-1.5755,2.2617,0.3089
tfidf_full,RandomForest,SES_group,9,Low,2595,373,-1.8929,2.6942,0.3466
tfidf_full,RandomForest,SES_group,9,High,1429,226,-1.8239,2.5536,0.3398
tfidf_full,RandomForest,BlackConcentration,9,Low,1020,143,-1.951,2.6857,0.3521
tfidf_full,RandomForest,BlackConcentration,9,High,2715,412,-1.8587,2.689,0.3426
tfidf_full,RandomForest,SES_group,10,Low,2711,372,-1.7213,2.4045,0.333
tfidf_full,RandomForest,SES_group,10,High,1356,209,-1.7008,2.8731,0.3261
tfidf_full,RandomForest,BlackConcentration,10,Low,1012,139,-1.7614,2.1312,0.3382
tfidf_full,RandomForest,BlackConcentration,10,High,2694,445,-1.5766,2.6604,0.3129
tfidf_full,RandomForest,SES_group,11,Low,3647,513,-1.7048,2.163,0.3284
tfidf_full,RandomForest,SES_group,11,High,1900,295,-1.7214,2.8091,0.3265
tfidf_full,RandomForest,BlackConcentration,11,Low,1378,170,-1.8961,2.0536,0.3501
tfidf_full,RandomForest,BlackConcentration,11,High,3563,528,-1.7044,2.1505,0.3294
tfidf_full,RandomForest,SES_group,12,Low,4705,689,-1.7577,2.2748,0.3344
tfidf_full,RandomForest,SES_group,12,High,2608,445,-1.6414,2.6174,0.3171
tfidf_full,RandomForest,BlackConcentration,12,Low,1792,264,-1.764,2.4173,0.3343
tfidf_full,RandomForest,BlackConcentration,12,High,4898,809,-1.6582,2.3532,0.3215
tfidf_full,RandomForest,SES_group,13,Low,5686,837,-1.7031,2.1493,0.3301
tfidf_full,RandomForest,SES_group,13,High,3003,506,-1.6461,2.3731,0.3206
tfidf_full,RandomForest,BlackConcentration,13,Low,2170,307,-1.7703,2.1741,0.3383
tfidf_full,RandomForest,BlackConcentration,13,High,5628,929,-1.6459,2.4265,0.3202
tfidf_full,RandomForest,SES_group,14,Low,6707,984,-1.675,2.534,0.3255
tfidf_full,RandomForest,SES_group,14,High,3399,539,-1.6771,2.5694,0.3239
tfidf_full,RandomForest,BlackConcentration,14,Low,2684,400,-1.6495,2.1819,0.3244
tfidf_full,RandomForest,BlackConcentration,14,High,6570,1054,-1.6272,2.608,0.3183
tfidf_full,XGBoost,SES_group,1,Low,515,76,-1.5884,0.695,0.2674
tfidf_full,XGBoost,SES_group,1,High,214,35,-1.6033,0.8189,0.293
tfidf_full,XGBoost,BlackConcentration,1,Low,180,33,-1.3956,0.4239,0.2491
tfidf_full,XGBoost,BlackConcentration,1,High,460,68,-1.6258,0.9508,0.2788
tfidf_full,XGBoost,SES_group,2,Low,561,52,-2.0188,1.1809,0.2905
tfidf_full,XGBoost,SES_group,2,High,263,41,-1.4937,0.5471,0.2427
tfidf_full,XGBoost,SES_group,3,Low,606,64,-1.7789,1.0139,0.2508
tfidf_full,XGBoost,SES_group,3,High,292,58,-1.2119,0.4875,0.2157
tfidf_full,XGBoost,SES_group,4,Low,814,110,-1.7687,0.9276,0.2996
tfidf_full,XGBoost,SES_group,4,High,397,56,-1.9837,1.8538,0.298
tfidf_full,XGBoost,BlackConcentration,4,Low,249,39,-1.6428,0.6641,0.3003
tfidf_full,XGBoost,BlackConcentration,4,High,841,127,-1.7044,1.1297,0.2912
tfidf_full,XGBoost,SES_group,5,Low,910,134,-1.6175,1.104,0.2752
tfidf_full,XGBoost,SES_group,5,High,430,63,-1.8043,1.099,0.3116
tfidf_full,XGBoost,BlackConcentration,5,Low,293,42,-1.6782,1.1119,0.2815
tfidf_full,XGBoost,BlackConcentration,5,High,909,133,-1.6822,1.3116,0.2797
tfidf_full,XGBoost,SES_group,6,Low,959,174,-1.6668,1.1232,0.313
tfidf_full,XGBoost,SES_group,6,High,507,104,-1.4591,0.6812,0.3098
tfidf_full,XGBoost,BlackConcentration,6,Low,349,60,-1.7923,1.2329,0.3321
tfidf_full,XGBoost,BlackConcentration,6,High,1002,192,-1.5767,1.007,0.3047
tfidf_full,XGBoost,SES_group,7,Low,1211,171,-1.7215,0.9694,0.2999
tfidf_full,XGBoost,SES_group,7,High,676,112,-1.6033,1.1392,0.2955
tfidf_full,XGBoost,BlackConcentration,7,Low,428,64,-1.7519,1.0746,0.3146
tfidf_full,XGBoost,BlackConcentration,7,High,1276,191,-1.674,1.0294,0.2987
tfidf_full,XGBoost,SES_group,8,Low,1715,306,-1.6133,0.8788,0.31
tfidf_full,XGBoost,SES_group,8,High,838,160,-1.5865,1.0194,0.3043
tfidf_full,XGBoost,BlackConcentration,8,Low,555,105,-1.5536,0.8849,0.3024
tfidf_full,XGBoost,BlackConcentration,8,High,1783,346,-1.5412,0.9042,0.3038
tfidf_full,XGBoost,SES_group,9,Low,2595,373,-1.9055,1.2557,0.3313
tfidf_full,XGBoost,SES_group,9,High,1429,226,-1.8837,1.1879,0.3433
tfidf_full,XGBoost,BlackConcentration,9,Low,1020,143,-1.9974,1.2252,0.3491
tfidf_full,XGBoost,BlackConcentration,9,High,2715,412,-1.8657,1.1636,0.335
tfidf_full,XGBoost,SES_group,10,Low,2711,372,-1.7338,0.988,0.2967
tfidf_full,XGBoost,SES_group,10,High,1356,209,-1.7218,1.0432,0.3093
tfidf_full,XGBoost,BlackConcentration,10,Low,1012,139,-1.823,0.8674,0.3217
tfidf_full,XGBoost,BlackConcentration,10,High,2694,445,-1.5967,1.0434,0.2891
tfidf_full,XGBoost,SES_group,11,Low,3647,513,-1.7666,0.9681,0.308
tfidf_full,XGBoost,SES_group,11,High,1900,295,-1.8283,1.2755,0.3247
tfidf_full,XGBoost,BlackConcentration,11,Low,1378,170,-1.9816,0.9258,0.3407
tfidf_full,XGBoost,BlackConcentration,11,High,3563,528,-1.7652,0.959,0.3188
tfidf_full,XGBoost,SES_group,12,Low,4705,689,-1.8148,1.0874,0.3214
tfidf_full,XGBoost,SES_group,12,High,2608,445,-1.7091,1.1336,0.3167
tfidf_full,XGBoost,BlackConcentration,12,Low,1792,264,-1.8418,1.1212,0.3279
tfidf_full,XGBoost,BlackConcentration,12,High,4898,809,-1.727,1.1044,0.3178
tfidf_full,XGBoost,SES_group,13,Low,5686,837,-1.7524,0.9372,0.3138
tfidf_full,XGBoost,SES_group,13,High,3003,506,-1.7217,1.0925,0.3191
tfidf_full,XGBoost,BlackConcentration,13,Low,2170,307,-1.829,0.9472,0.3274
tfidf_full,XGBoost,BlackConcentration,13,High,5628,929,-1.7131,1.0918,0.3134
tfidf_full,XGBoost,SES_group,14,Low,6707,984,-1.7173,1.0487,0.3005
tfidf_full,XGBoost,SES_group,14,High,3399,539,-1.7237,1.0948,0.3117
tfidf_full,XGBoost,BlackConcentration,14,Low,2684,400,-1.7047,0.9777,0.3039
tfidf_full,XGBoost,BlackConcentration,14,High,6570,1054,-1.6688,1.0658,0.3011
finbert_pca50,Logistic,SES_group,1,Low,515,76,-1.7484,0.601,0.3086
finbert_pca50,Logistic,SES_group,1,High,214,35,-1.6855,0.5338,0.3184
finbert_pca50,Logistic,BlackConcentration,1,Low,180,33,-1.4951,0.4372,0.2913
finbert_pca50,Logistic,BlackConcentration,1,High,460,68,-1.8043,0.7079,0.3177
finbert_pca50,Logistic,SES_group,2,Low,561,52,-2.1566,0.7003,0.3034
finbert_pca50,Logistic,SES_group,2,High,263,41,-1.6261,0.4099,0.2787
finbert_pca50,Logistic,SES_group,3,Low,606,64,-2.2076,1.0971,0.3331
finbert_pca50,Logistic,SES_group,3,High,292,58,-1.5107,0.7974,0.2935
finbert_pca50,Logistic,SES_group,4,Low,814,110,-1.8172,0.7054,0.3044
finbert_pca50,Logistic,SES_group,4,High,397,56,-2.0064,1.2373,0.3155
finbert_pca50,Logistic,BlackConcentration,4,Low,249,39,-1.6794,0.4904,0.3118
finbert_pca50,Logistic,BlackConcentration,4,High,841,127,-1.8062,0.8921,0.3062
finbert_pca50,Logistic,SES_group,5,Low,910,134,-1.6847,1.0286,0.2831
finbert_pca50,Logistic,SES_group,5,High,430,63,-1.8827,0.7895,0.3359
finbert_pca50,Logistic,BlackConcentration,5,Low,293,42,-1.8208,1.1314,0.2974
finbert_pca50,Logistic,BlackConcentration,5,High,909,133,-1.8255,1.1365,0.3008
finbert_pca50,Logistic,SES_group,6,Low,959,174,-1.7044,1.0506,0.3139
finbert_pca50,Logistic,SES_group,6,High,507,104,-1.4891,0.558,0.3239
