zip3,BlackConcentration,weight,direction,SES_group
436,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
441,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
443,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
445,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
447,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
449,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
452,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
454,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
455,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
462,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
464,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
466,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
468,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
480,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
482,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
485,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
486,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
489,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
495,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
528,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
532,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
534,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
554,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
602,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
603,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
604,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
606,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
608,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
609,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
611,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
616,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
618,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
622,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
625,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
627,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
630,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
631,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
638,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
641,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
651,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
661,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
672,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
681,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
700,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
701,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
703,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
704,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
705,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
706,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
707,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
708,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
710,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
711,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
712,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
713,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
714,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
716,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
717,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
718,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
720,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
721,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
722,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
723,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
731,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
735,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
741,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
