representation,model,grouping,fold,group_level,bin,n,mean_pred,observed_rate
structured,Logistic,SES_group,8,Low,6,164,0.6073,0.1768
structured,Logistic,SES_group,8,Low,7,155,0.6652,0.2903
structured,Logistic,SES_group,8,Low,8,164,0.7325,0.2866
structured,Logistic,SES_group,8,Low,9,166,0.8227,0.3434
structured,Logistic,SES_group,8,High,0,77,0.1785,0.039
structured,Logistic,SES_group,8,High,1,85,0.2967,0.0588
structured,Logistic,SES_group,8,High,2,79,0.3763,0.1013
structured,Logistic,SES_group,8,High,3,83,0.4442,0.1205
structured,Logistic,SES_group,8,High,4,83,0.5042,0.1928
structured,Logistic,SES_group,8,High,5,85,0.5559,0.1765
structured,Logistic,SES_group,8,High,6,79,0.6031,0.2152
structured,Logistic,SES_group,8,High,7,101,0.6678,0.2574
structured,Logistic,SES_group,8,High,8,82,0.7325,0.2561
structured,Logistic,SES_group,8,High,9,84,0.8279,0.4643
structured,Logistic,BlackConcentration,8,Low,0,62,0.1698,0.0161
structured,Logistic,BlackConcentration,8,Low,1,65,0.2934,0.1077
structured,Logistic,BlackConcentration,8,Low,2,59,0.3789,0.1186
structured,Logistic,BlackConcentration,8,Low,3,54,0.4445,0.2222
structured,Logistic,BlackConcentration,8,Low,4,58,0.5019,0.1724
structured,Logistic,BlackConcentration,8,Low,5,53,0.5556,0.2264
structured,Logistic,BlackConcentration,8,Low,6,52,0.6047,0.2308
structured,Logistic,BlackConcentration,8,Low,7,54,0.6633,0.2037
structured,Logistic,BlackConcentration,8,Low,8,41,0.7387,0.2439
structured,Logistic,BlackConcentration,8,Low,9,57,0.8257,0.4035
structured,Logistic,BlackConcentration,8,High,0,172,0.1752,0.064
structured,Logistic,BlackConcentration,8,High,1,162,0.2976,0.0864
structured,Logistic,BlackConcentration,8,High,2,177,0.3767,0.1017
structured,Logistic,BlackConcentration,8,High,3,174,0.443,0.1494
structured,Logistic,BlackConcentration,8,High,4,177,0.5028,0.1412
structured,Logistic,BlackConcentration,8,High,5,186,0.5536,0.2204
structured,Logistic,BlackConcentration,8,High,6,182,0.6056,0.2253
structured,Logistic,BlackConcentration,8,High,7,187,0.666,0.2513
structured,Logistic,BlackConcentration,8,High,8,191,0.7342,0.2513
structured,Logistic,BlackConcentration,8,High,9,175,0.828,0.4286
structured,Logistic,SES_group,9,Low,0,314,0.1386,0.035
structured,Logistic,SES_group,9,Low,1,283,0.2444,0.0459
structured,Logistic,SES_group,9,Low,2,283,0.3153,0.0848
