model,grouping,metric,comparison,fold,gap_structured,gap_tfidf_full,delta,gap_finbert_pca50
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,4,,-0.0336,-0.0513,-0.0849
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,5,,0.0154,0.0061,0.0215
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,6,,-0.0232,0.0005,-0.0227
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,7,,-0.04,0.0093,-0.0307
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,8,,0.0386,0.0133,0.0519
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,9,,0.0082,-0.003,0.0052
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,10,,0.0141,0.0047,0.0188
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,11,,0.0165,-0.0067,0.0098
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,12,,0.036,-0.0002,0.0358
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,13,,0.051,-0.0078,0.0432
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,14,,0.0447,-0.0054,0.0393
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,1,,-0.0345,-0.0131,-0.0476
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,2,,-0.0193,0.0073,-0.012
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,3,,0.0393,-0.0245,0.0148
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,4,,-0.0262,-0.0448,-0.071
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,5,,0.0087,0.0131,0.0218
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,6,,-0.0094,-0.0015,-0.0109
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,7,,-0.0412,0.0,-0.0412
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,8,,0.0435,0.0131,0.0566
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,9,,0.0127,-0.0007,0.012
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,10,,0.0343,-0.005,0.0293
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,11,,0.0232,-0.0104,0.0128
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,12,,0.0418,-0.0018,0.04
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,13,,0.0602,-0.0071,0.0531
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,14,,0.0541,-0.0027,0.0514
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,1,,0.067,-0.001,0.066
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,2,,-0.0484,-0.0108,-0.0592
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,3,,-0.0097,0.0194,0.0097
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,4,,0.0802,0.0176,0.0978
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,5,,0.0015,0.0171,0.0186
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,6,,0.0078,0.0138,0.0216
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,7,,0.0045,-0.0154,-0.0109
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,8,,-0.0009,0.0123,0.0114
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,9,,-0.0093,0.01,0.0007
