fold,Model,representation,AUC_structured,AUC_representation,Delta_AUC,Z_stat,p_value,q_value
11,XGBoost,tfidf_full,0.6972,0.6906,-0.0066,2.479,0.0132,0.2772
11,XGBoost,tfidf_chi2,0.6972,0.6959,-0.0012,0.535,0.5929,0.9590000000000001
11,XGBoost,finbert_768,0.6972,0.697,-0.0002,0.077,0.9389,0.973674074074074
11,XGBoost,finbert_pca50,0.6972,0.6957,-0.0015,0.652,0.5143,0.9590000000000001
12,Logistic,structured_has_desc,0.7037,0.7037,0.0,-0.474,0.6352,0.77328
12,Logistic,lexicon,0.7037,0.7046,0.0009,-1.91,0.0561,0.24802105263157892
12,Logistic,tfidf_full,0.7037,0.7065,0.0028,-2.482,0.0131,0.11004
12,Logistic,tfidf_chi2,0.7037,0.7045,0.0008,-1.052,0.2927,0.6120545454545454
12,Logistic,finbert_768,0.7037,0.7032,-0.0004,0.236,0.8134,0.9233189189189188
12,Logistic,finbert_pca50,0.7037,0.7055,0.0018,-1.561,0.1186,0.3831692307692308
12,XGBoost,structured_has_desc,0.7041,0.705,0.0009,-1.52,0.1285,0.7628727272727273
12,XGBoost,lexicon,0.7041,0.7044,0.0003,-0.364,0.716,0.9590000000000001
12,XGBoost,tfidf_full,0.7041,0.7047,0.0005,-0.304,0.7612,0.9590000000000001
12,XGBoost,tfidf_chi2,0.7041,0.7032,-0.0009,0.514,0.6071,0.9590000000000001
12,XGBoost,finbert_768,0.7041,0.7029,-0.0012,0.622,0.5336,0.9590000000000001
12,XGBoost,finbert_pca50,0.7041,0.706,0.0019,-1.287,0.1983,0.7628727272727273
13,Logistic,structured_has_desc,0.6946,0.6945,-0.0,0.584,0.5594,0.7458666666666667
13,Logistic,lexicon,0.6946,0.6945,-0.0,0.088,0.9295,0.963925925925926
13,Logistic,tfidf_full,0.6946,0.6964,0.0018,-1.789,0.0735,0.2852181818181818
13,Logistic,tfidf_chi2,0.6946,0.6952,0.0006,-0.881,0.3782,0.6618499999999999
13,Logistic,finbert_768,0.6946,0.6931,-0.0014,0.84,0.401,0.6729882352941177
13,Logistic,finbert_pca50,0.6946,0.6968,0.0023,-2.033,0.0421,0.22026666666666667
13,XGBoost,structured_has_desc,0.6961,0.6954,-0.0008,1.285,0.1989,0.7628727272727273
13,XGBoost,lexicon,0.6961,0.6963,0.0002,-0.274,0.7844,0.9590000000000001
13,XGBoost,tfidf_full,0.6961,0.694,-0.0021,1.327,0.1846,0.7628727272727273
13,XGBoost,tfidf_chi2,0.6961,0.6949,-0.0012,0.849,0.3959,0.95016
13,XGBoost,finbert_768,0.6961,0.6957,-0.0004,0.245,0.8064,0.9590000000000001
13,XGBoost,finbert_pca50,0.6961,0.6966,0.0005,-0.408,0.6831,0.9590000000000001
14,Logistic,structured_has_desc,0.7,0.7,-0.0,0.768,0.4427,0.6761236363636364
14,Logistic,lexicon,0.7,0.6995,-0.0005,1.303,0.1927,0.523425
14,Logistic,tfidf_full,0.7,0.703,0.003,-2.888,0.0039,0.0819
14,Logistic,tfidf_chi2,0.7,0.7012,0.0012,-1.783,0.0747,0.2852181818181818
14,Logistic,finbert_768,0.7,0.7,-0.0,0.014,0.9886,0.9886
14,Logistic,finbert_pca50,0.7,0.7007,0.0008,-0.749,0.4539,0.6808500000000001
14,XGBoost,structured_has_desc,0.7053,0.7058,0.0004,-1.407,0.1593,0.7628727272727273
14,XGBoost,lexicon,0.7053,0.7055,0.0001,-0.225,0.822,0.9590000000000001
14,XGBoost,tfidf_full,0.7053,0.7045,-0.0009,0.734,0.4629,0.9590000000000001
14,XGBoost,tfidf_chi2,0.7053,0.7056,0.0003,-0.243,0.8083,0.9590000000000001
14,XGBoost,finbert_768,0.7053,0.7049,-0.0004,0.331,0.7408,0.9590000000000001
14,XGBoost,finbert_pca50,0.7053,0.7063,0.0009,-0.918,0.3589,0.9135636363636364
