fold,Model,representation,AUC_structured,AUC_representation,Delta_AUC,Z_stat,p_value
13,Logistic,tfidf_chi2,0.6946,0.6952,0.0006,-0.881,0.3782
13,Logistic,finbert_768,0.6946,0.6931,-0.0014,0.84,0.401
13,Logistic,finbert_pca50,0.6946,0.6968,0.0023,-2.033,0.0421
13,XGBoost,structured_has_desc,0.6961,0.6954,-0.0008,1.285,0.1989
13,XGBoost,lexicon,0.6961,0.6963,0.0002,-0.274,0.7844
13,XGBoost,tfidf_full,0.6961,0.694,-0.0021,1.327,0.1846
13,XGBoost,tfidf_chi2,0.6961,0.6949,-0.0012,0.849,0.3959
13,XGBoost,finbert_768,0.6961,0.6957,-0.0004,0.245,0.8064
13,XGBoost,finbert_pca50,0.6961,0.6966,0.0005,-0.408,0.6831
14,Logistic,structured_has_desc,0.7,0.7,-0.0,0.768,0.4427
14,Logistic,lexicon,0.7,0.6995,-0.0005,1.303,0.1927
14,Logistic,tfidf_full,0.7,0.703,0.003,-2.888,0.0039
14,Logistic,tfidf_chi2,0.7,0.7012,0.0012,-1.783,0.0747
14,Logistic,finbert_768,0.7,0.7,-0.0,0.014,0.9886
14,Logistic,finbert_pca50,0.7,0.7007,0.0008,-0.749,0.4539
14,XGBoost,structured_has_desc,0.7053,0.7058,0.0004,-1.407,0.1593
14,XGBoost,lexicon,0.7053,0.7055,0.0001,-0.225,0.822
14,XGBoost,tfidf_full,0.7053,0.7045,-0.0009,0.734,0.4629
14,XGBoost,tfidf_chi2,0.7053,0.7056,0.0003,-0.243,0.8083
14,XGBoost,finbert_768,0.7053,0.7049,-0.0004,0.331,0.7408
14,XGBoost,finbert_pca50,0.7053,0.7063,0.0009,-0.918,0.3589
