fold,train_cutoff,test_end,n_train,n_test,n_defaults,Model,Variant,AUC,PR_AUC,Brier,GINI,threshold,FNR_gap,FPR_gap,Brier_gap,n_groups
6,2011-11,2011-12,30990,2267,431,Logistic,Structured+Text,0.8775179574278796,0.5840928442111559,0.17262018394920242,0.7550359148557593,0.5,,,,0
6,2011-11,2011-12,30990,2267,431,Logistic,Structured+Text,0.8775179574278796,0.5840928442111559,0.17262018394920242,0.7550359148557593,0.6,,,,0
6,2011-11,2011-12,30990,2267,431,Logistic,Structured+Text,0.8775179574278796,0.5840928442111559,0.17262018394920242,0.7550359148557593,0.7,,,,0
6,2011-11,2011-12,30990,2267,431,XGBoost,Structured,0.8808756552376041,0.6061943048351193,0.1667090207338333,0.7617513104752083,0.5,,,,0
6,2011-11,2011-12,30990,2267,431,XGBoost,Structured,0.8808756552376041,0.6061943048351193,0.1667090207338333,0.7617513104752083,0.6,,,,0
6,2011-11,2011-12,30990,2267,431,XGBoost,Structured,0.8808756552376041,0.6061943048351193,0.1667090207338333,0.7617513104752083,0.7,,,,0
6,2011-11,2011-12,30990,2267,431,XGBoost,Structured+Text,0.8826366457900511,0.6122429991173819,0.16392962634563446,0.7652732915801022,0.5,,,,0
6,2011-11,2011-12,30990,2267,431,XGBoost,Structured+Text,0.8826366457900511,0.6122429991173819,0.16392962634563446,0.7652732915801022,0.6,,,,0
6,2011-11,2011-12,30990,2267,431,XGBoost,Structured+Text,0.8826366457900511,0.6122429991173819,0.16392962634563446,0.7652732915801022,0.7,,,,0
7,2012-02,2012-03,38419,2914,443,Logistic,Structured,0.8981366697939895,0.5548593080994274,0.13823583722114563,0.7962733395879791,0.5,,,,0
7,2012-02,2012-03,38419,2914,443,Logistic,Structured,0.8981366697939895,0.5548593080994274,0.13823583722114563,0.7962733395879791,0.6,,,,0
7,2012-02,2012-03,38419,2914,443,Logistic,Structured,0.8981366697939895,0.5548593080994274,0.13823583722114563,0.7962733395879791,0.7,,,,0
7,2012-02,2012-03,38419,2914,443,Logistic,Structured+Text,0.8967809890440167,0.5542628567805642,0.14108459186691033,0.7935619780880334,0.5,,,,0
7,2012-02,2012-03,38419,2914,443,Logistic,Structured+Text,0.8967809890440167,0.5542628567805642,0.14108459186691033,0.7935619780880334,0.6,,,,0
7,2012-02,2012-03,38419,2914,443,Logistic,Structured+Text,0.8967809890440167,0.5542628567805642,0.14108459186691033,0.7935619780880334,0.7,,,,0
7,2012-02,2012-03,38419,2914,443,XGBoost,Structured,0.904798141511511,0.5874248994178506,0.13243235647678375,0.8095962830230219,0.5,,,,0
7,2012-02,2012-03,38419,2914,443,XGBoost,Structured,0.904798141511511,0.5874248994178506,0.13243235647678375,0.8095962830230219,0.6,,,,0
7,2012-02,2012-03,38419,2914,443,XGBoost,Structured,0.904798141511511,0.5874248994178506,0.13243235647678375,0.8095962830230219,0.7,,,,0
7,2012-02,2012-03,38419,2914,443,XGBoost,Structured+Text,0.9032085966968526,0.579576701815388,0.1328877955675125,0.8064171933937052,0.5,,,,0
7,2012-02,2012-03,38419,2914,443,XGBoost,Structured+Text,0.9032085966968526,0.579576701815388,0.1328877955675125,0.8064171933937052,0.6,,,,0
7,2012-02,2012-03,38419,2914,443,XGBoost,Structured+Text,0.9032085966968526,0.579576701815388,0.1328877955675125,0.8064171933937052,0.7,,,,0
8,2012-05,2012-06,47963,3817,714,Logistic,Structured,0.8767543111347023,0.5925069697033511,0.1601293832063675,0.7535086222694045,0.5,,,,0
8,2012-05,2012-06,47963,3817,714,Logistic,Structured,0.8767543111347023,0.5925069697033511,0.1601293832063675,0.7535086222694045,0.6,,,,0
8,2012-05,2012-06,47963,3817,714,Logistic,Structured,0.8767543111347023,0.5925069697033511,0.1601293832063675,0.7535086222694045,0.7,,,,0
8,2012-05,2012-06,47963,3817,714,Logistic,Structured+Text,0.876144076708995,0.5937286204940778,0.16237841015737184,0.7522881534179899,0.5,,,,0
8,2012-05,2012-06,47963,3817,714,Logistic,Structured+Text,0.876144076708995,0.5937286204940778,0.16237841015737184,0.7522881534179899,0.6,,,,0
8,2012-05,2012-06,47963,3817,714,Logistic,Structured+Text,0.876144076708995,0.5937286204940778,0.16237841015737184,0.7522881534179899,0.7,,,,0
8,2012-05,2012-06,47963,3817,714,XGBoost,Structured,0.8870696199846358,0.6248830509023783,0.15026094019412994,0.7741392399692717,0.5,,,,0
8,2012-05,2012-06,47963,3817,714,XGBoost,Structured,0.8870696199846358,0.6248830509023783,0.15026094019412994,0.7741392399692717,0.6,,,,0
8,2012-05,2012-06,47963,3817,714,XGBoost,Structured,0.8870696199846358,0.6248830509023783,0.15026094019412994,0.7741392399692717,0.7,,,,0
8,2012-05,2012-06,47963,3817,714,XGBoost,Structured+Text,0.8871246855171331,0.6268024646870811,0.15164759755134583,0.7742493710342662,0.5,,,,0
8,2012-05,2012-06,47963,3817,714,XGBoost,Structured+Text,0.8871246855171331,0.6268024646870811,0.15164759755134583,0.7742493710342662,0.6,,,,0
8,2012-05,2012-06,47963,3817,714,XGBoost,Structured+Text,0.8871246855171331,0.6268024646870811,0.15164759755134583,0.7742493710342662,0.7,,,,0
9,2012-08,2012-09,61826,6087,951,Logistic,Structured,0.8869860713923038,0.5434453543938585,0.14234505593776703,0.7739721427846076,0.5,,,,0
9,2012-08,2012-09,61826,6087,951,Logistic,Structured,0.8869860713923038,0.5434453543938585,0.14234505593776703,0.7739721427846076,0.6,,,,0
9,2012-08,2012-09,61826,6087,951,Logistic,Structured,0.8869860713923038,0.5434453543938585,0.14234505593776703,0.7739721427846076,0.7,,,,0
9,2012-08,2012-09,61826,6087,951,Logistic,Structured+Text,0.8856958243658913,0.5420657556249151,0.1448728944533691,0.7713916487317827,0.5,,,,0
9,2012-08,2012-09,61826,6087,951,Logistic,Structured+Text,0.8856958243658913,0.5420657556249151,0.1448728944533691,0.7713916487317827,0.6,,,,0
9,2012-08,2012-09,61826,6087,951,Logistic,Structured+Text,0.8856958243658913,0.5420657556249151,0.1448728944533691,0.7713916487317827,0.7,,,,0
9,2012-08,2012-09,61826,6087,951,XGBoost,Structured,0.8989290458314089,0.5886180779213209,0.12768957018852234,0.7978580916628177,0.5,,,,0
9,2012-08,2012-09,61826,6087,951,XGBoost,Structured,0.8989290458314089,0.5886180779213209,0.12768957018852234,0.7978580916628177,0.6,,,,0
9,2012-08,2012-09,61826,6087,951,XGBoost,Structured,0.8989290458314089,0.5886180779213209,0.12768957018852234,0.7978580916628177,0.7,,,,0
9,2012-08,2012-09,61826,6087,951,XGBoost,Structured+Text,0.8995232924188672,0.5806026301150686,0.14119134843349457,0.7990465848377344,0.5,,,,0
9,2012-08,2012-09,61826,6087,951,XGBoost,Structured+Text,0.8995232924188672,0.5806026301150686,0.14119134843349457,0.7990465848377344,0.6,,,,0
9,2012-08,2012-09,61826,6087,951,XGBoost,Structured+Text,0.8995232924188672,0.5806026301150686,0.14119134843349457,0.7990465848377344,0.7,,,,0
10,2012-11,2012-12,80558,6066,916,Logistic,Structured,0.8849255946071989,0.535304644083823,0.13999466598033905,0.7698511892143978,0.5,,,,0
10,2012-11,2012-12,80558,6066,916,Logistic,Structured,0.8849255946071989,0.535304644083823,0.13999466598033905,0.7698511892143978,0.6,,,,0
10,2012-11,2012-12,80558,6066,916,Logistic,Structured,0.8849255946071989,0.535304644083823,0.13999466598033905,0.7698511892143978,0.7,,,,0
10,2012-11,2012-12,80558,6066,916,Logistic,Structured+Text,0.8848056132615425,0.5327711402485822,0.14140726408888302,0.769611226523085,0.5,,,,0
10,2012-11,2012-12,80558,6066,916,Logistic,Structured+Text,0.8848056132615425,0.5327711402485822,0.14140726408888302,0.769611226523085,0.6,,,,0
10,2012-11,2012-12,80558,6066,916,Logistic,Structured+Text,0.8848056132615425,0.5327711402485822,0.14140726408888302,0.769611226523085,0.7,,,,0
10,2012-11,2012-12,80558,6066,916,XGBoost,Structured,0.8947545257981091,0.5635033689843431,0.1382697969675064,0.7895090515962182,0.5,,,,0
10,2012-11,2012-12,80558,6066,916,XGBoost,Structured,0.8947545257981091,0.5635033689843431,0.1382697969675064,0.7895090515962182,0.6,,,,0
10,2012-11,2012-12,80558,6066,916,XGBoost,Structured,0.8947545257981091,0.5635033689843431,0.1382697969675064,0.7895090515962182,0.7,,,,0
10,2012-11,2012-12,80558,6066,916,XGBoost,Structured+Text,0.8971221435536526,0.5712217319859356,0.14135873317718506,0.7942442871073052,0.5,,,,0
10,2012-11,2012-12,80558,6066,916,XGBoost,Structured+Text,0.8971221435536526,0.5712217319859356,0.14135873317718506,0.7942442871073052,0.6,,,,0
10,2012-11,2012-12,80558,6066,916,XGBoost,Structured+Text,0.8971221435536526,0.5712217319859356,0.14135873317718506,0.7942442871073052,0.7,,,,0
11,2013-02,2013-03,101057,8273,1200,Logistic,Structured,0.9029908336867901,0.5675872141886545,0.1330270767211914,0.8059816673735802,0.5,0.04093567251461988,0.027056277056277056,0.022613378255742708,3
11,2013-02,2013-03,101057,8273,1200,Logistic,Structured,0.9029908336867901,0.5675872141886545,0.1330270767211914,0.8059816673735802,0.6,0.14035087719298245,0.04600092464170136,0.022613378255742708,3
11,2013-02,2013-03,101057,8273,1200,Logistic,Structured,0.9029908336867901,0.5675872141886545,0.1330270767211914,0.8059816673735802,0.7,0.02631578947368418,0.08171521035598707,0.022613378255742708,3
11,2013-02,2013-03,101057,8273,1200,Logistic,Structured+Text,0.9019312879966068,0.5641114118605961,0.13518949883026626,0.8038625759932136,0.5,0.17982456140350878,0.05735930735930736,0.019532336434703507,3
11,2013-02,2013-03,101057,8273,1200,Logistic,Structured+Text,0.9019312879966068,0.5641114118605961,0.13518949883026626,0.8038625759932136,0.6,0.08771929824561403,0.04600092464170136,0.019532336434703507,3
11,2013-02,2013-03,101057,8273,1200,Logistic,Structured+Text,0.9019312879966068,0.5641114118605961,0.13518949883026626,0.8038625759932136,0.7,0.08187134502923976,0.08171521035598707,0.019532336434703507,3
11,2013-02,2013-03,101057,8273,1200,XGBoost,Structured,0.9125333427588482,0.6002249275392294,0.12714898586273193,0.8250666855176965,0.5,0.15789473684210525,0.0018632931254290441,0.020571751214676998,3
11,2013-02,2013-03,101057,8273,1200,XGBoost,Structured,0.9125333427588482,0.6002249275392294,0.12714898586273193,0.8250666855176965,0.6,0.2324561403508772,0.01560332871012482,0.020571751214676998,3
11,2013-02,2013-03,101057,8273,1200,XGBoost,Structured,0.9125333427588482,0.6002249275392294,0.12714898586273193,0.8250666855176965,0.7,0.17105263157894735,0.07200647249190938,0.020571751214676998,3
11,2013-02,2013-03,101057,8273,1200,XGBoost,Structured+Text,0.9119559121542014,0.5935537734144086,0.12918350100517273,0.8239118243084027,0.5,0.1111111111111111,0.009740259740259744,0.019985218965640525,3
11,2013-02,2013-03,101057,8273,1200,XGBoost,Structured+Text,0.9119559121542014,0.5935537734144086,0.12918350100517273,0.8239118243084027,0.6,0.2631578947368421,0.01334776334776333,0.019985218965640525,3
11,2013-02,2013-03,101057,8273,1200,XGBoost,Structured+Text,0.9119559121542014,0.5935537734144086,0.12918350100517273,0.8239118243084027,0.7,0.08771929824561403,0.036292186777623664,0.019985218965640525,3
12,2013-05,2013-06,129099,10899,1761,Logistic,Structured,0.9016729598487896,0.585976977269865,0.1373949944972992,0.8033459196975792,0.5,0.3076923076923077,0.06704331450094161,0.07054595967997941,8
12,2013-05,2013-06,129099,10899,1761,Logistic,Structured,0.9016729598487896,0.585976977269865,0.1373949944972992,0.8033459196975792,0.6,0.3319838056680162,0.05649717514124293,0.07054595967997941,8
12,2013-05,2013-06,129099,10899,1761,Logistic,Structured,0.9016729598487896,0.585976977269865,0.1373949944972992,0.8033459196975792,0.7,0.41346153846153844,0.06470588235294117,0.07054595967997941,8
12,2013-05,2013-06,129099,10899,1761,Logistic,Structured+Text,0.9016342760740138,0.5856246373329549,0.13936835798760044,0.8032685521480276,0.5,0.3076923076923077,0.08726591760299626,0.07133900413340012,8
12,2013-05,2013-06,129099,10899,1761,Logistic,Structured+Text,0.9016342760740138,0.5856246373329549,0.13936835798760044,0.8032685521480276,0.6,0.3319838056680162,0.07608286252354049,0.07133900413340012,8
12,2013-05,2013-06,129099,10899,1761,Logistic,Structured+Text,0.9016342760740138,0.5856246373329549,0.13936835798760044,0.8032685521480276,0.7,0.41346153846153844,0.06601307189542482,0.07133900413340012,8
12,2013-05,2013-06,129099,10899,1761,XGBoost,Structured,0.9071447098803892,0.6107611463067217,0.13614162802696228,0.8142894197607784,0.5,0.3076923076923077,0.12022471910112359,0.07814682364476447,8
12,2013-05,2013-06,129099,10899,1761,XGBoost,Structured,0.9071447098803892,0.6107611463067217,0.13614162802696228,0.8142894197607784,0.6,0.3076923076923077,0.13691148775894535,0.07814682364476447,8
12,2013-05,2013-06,129099,10899,1761,XGBoost,Structured,0.9071447098803892,0.6107611463067217,0.13614162802696228,0.8142894197607784,0.7,0.32211538461538464,0.09303201506591338,0.07814682364476447,8
12,2013-05,2013-06,129099,10899,1761,XGBoost,Structured+Text,0.9075872895493902,0.6147866867527357,0.1375328004360199,0.8151745790987803,0.5,0.3076923076923077,0.134640522875817,0.07717415315495449,8
12,2013-05,2013-06,129099,10899,1761,XGBoost,Structured+Text,0.9075872895493902,0.6147866867527357,0.1375328004360199,0.8151745790987803,0.6,0.3076923076923077,0.1310734463276836,0.07717415315495449,8
12,2013-05,2013-06,129099,10899,1761,XGBoost,Structured+Text,0.9075872895493902,0.6147866867527357,0.1375328004360199,0.8151745790987803,0.7,0.3319838056680162,0.09566854990583804,0.07717415315495449,8
13,2013-08,2013-09,164582,12987,2052,Logistic,Structured,0.9117623766523966,0.632054032652239,0.12891583144664764,0.8235247533047931,0.5,0.2222222222222222,0.15979976896418943,0.09242290837629198,12
13,2013-08,2013-09,164582,12987,2052,Logistic,Structured,0.9117623766523966,0.632054032652239,0.12891583144664764,0.8235247533047931,0.6,0.2857142857142857,0.11494031574894109,0.09242290837629198,12
13,2013-08,2013-09,164582,12987,2052,Logistic,Structured,0.9117623766523966,0.632054032652239,0.12891583144664764,0.8235247533047931,0.7,0.24675324675324672,0.10658969304421291,0.09242290837629198,12
13,2013-08,2013-09,164582,12987,2052,Logistic,Structured+Text,0.9112452102669415,0.6284587745643543,0.13063419901864168,0.822490420533883,0.5,0.2222222222222222,0.15979976896418943,0.09484700554551616,12
13,2013-08,2013-09,164582,12987,2052,Logistic,Structured+Text,0.9112452102669415,0.6284587745643543,0.13063419901864168,0.822490420533883,0.6,0.2857142857142857,0.11417019638043897,0.09484700554551616,12
13,2013-08,2013-09,164582,12987,2052,Logistic,Structured+Text,0.9112452102669415,0.6284587745643543,0.13063419901864168,0.822490420533883,0.7,0.24675324675324672,0.11571043511744321,0.09484700554551616,12
13,2013-08,2013-09,164582,12987,2052,XGBoost,Structured,0.917699885287063,0.6617306725767813,0.12568478286266327,0.8353997705741261,0.5,0.2222222222222222,0.17558721601848284,0.09362272630342569,12
13,2013-08,2013-09,164582,12987,2052,XGBoost,Structured,0.917699885287063,0.6617306725767813,0.12568478286266327,0.8353997705741261,0.6,0.2222222222222222,0.1778975741239892,0.09362272630342569,12
13,2013-08,2013-09,164582,12987,2052,XGBoost,Structured,0.917699885287063,0.6617306725767813,0.12568478286266327,0.8353997705741261,0.7,0.25,0.14415942336230655,0.09362272630342569,12
13,2013-08,2013-09,164582,12987,2052,XGBoost,Structured+Text,0.917943616853443,0.6640663663210152,0.12643690407276154,0.8358872337068859,0.5,0.2222222222222222,0.1699521261616446,0.08976976645915064,12
13,2013-08,2013-09,164582,12987,2052,XGBoost,Structured+Text,0.917943616853443,0.6640663663210152,0.12643690407276154,0.8358872337068859,0.6,0.2222222222222222,0.1526330611095466,0.08976976645915064,12
