fold,representation,model,n_sub,n_val,best_params,best_val_AUC,all_candidates
5,structured,RandomForest,18837,4710,"{""min_samples_leaf"": 50}",0.7051,"[{""params"": {""min_samples_leaf"": 10}, ""val_AUC"": 0.7027}, {""params"": {""min_samples_leaf"": 20}, ""val_AUC"": 0.7035}, {""params"": {""min_samples_leaf"": 50}, ""val_AUC"": 0.7051}]"
5,tfidf_full,Logistic,18837,4710,"{""C"": 1}",0.7081,"[{""params"": {""C"": 0.01}, ""val_AUC"": 0.7056}, {""params"": {""C"": 0.03}, ""val_AUC"": 0.7067}, {""params"": {""C"": 0.1}, ""val_AUC"": 0.7077}, {""params"": {""C"": 0.3}, ""val_AUC"": 0.7081}, {""params"": {""C"": 1}, ""val_AUC"": 0.7081}]"
5,tfidf_full,XGBoost,18837,4710,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.71,"[{""params"": {""max_depth"": 3, ""learning_rate"": 0.05}, ""val_AUC"": 0.71}, {""params"": {""max_depth"": 3, ""learning_rate"": 0.1}, ""val_AUC"": 0.7052}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.05}, ""val_AUC"": 0.7069}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.1}, ""val_AUC"": 0.6932}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.05}, ""val_AUC"": 0.6943}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.1}, ""val_AUC"": 0.6875}]"
5,tfidf_full,RandomForest,18837,4710,"{""min_samples_leaf"": 10}",0.6941,"[{""params"": {""min_samples_leaf"": 10}, ""val_AUC"": 0.6941}, {""params"": {""min_samples_leaf"": 20}, ""val_AUC"": 0.6941}, {""params"": {""min_samples_leaf"": 50}, ""val_AUC"": 0.6918}]"
5,finbert_pca50,Logistic,18837,4710,"{""C"": 0.01}",0.7098,"[{""params"": {""C"": 0.01}, ""val_AUC"": 0.7098}, {""params"": {""C"": 0.03}, ""val_AUC"": 0.7095}, {""params"": {""C"": 0.1}, ""val_AUC"": 0.7092}, {""params"": {""C"": 0.3}, ""val_AUC"": 0.7091}, {""params"": {""C"": 1}, ""val_AUC"": 0.7091}]"
5,finbert_pca50,XGBoost,18837,4710,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.7029,"[{""params"": {""max_depth"": 3, ""learning_rate"": 0.05}, ""val_AUC"": 0.7029}, {""params"": {""max_depth"": 3, ""learning_rate"": 0.1}, ""val_AUC"": 0.6918}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.05}, ""val_AUC"": 0.6973}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.1}, ""val_AUC"": 0.6785}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.05}, ""val_AUC"": 0.6764}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.1}, ""val_AUC"": 0.6646}]"
5,finbert_pca50,RandomForest,18837,4710,"{""min_samples_leaf"": 50}",0.7003,"[{""params"": {""min_samples_leaf"": 10}, ""val_AUC"": 0.6943}, {""params"": {""min_samples_leaf"": 20}, ""val_AUC"": 0.6966}, {""params"": {""min_samples_leaf"": 50}, ""val_AUC"": 0.7003}]"
6,structured,Logistic,23736,5935,"{""C"": 0.01}",0.7114,"[{""params"": {""C"": 0.01}, ""val_AUC"": 0.7114}, {""params"": {""C"": 0.03}, ""val_AUC"": 0.7111}, {""params"": {""C"": 0.1}, ""val_AUC"": 0.711}, {""params"": {""C"": 0.3}, ""val_AUC"": 0.711}, {""params"": {""C"": 1}, ""val_AUC"": 0.711}]"
6,structured,XGBoost,23736,5935,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.7108,"[{""params"": {""max_depth"": 3, ""learning_rate"": 0.05}, ""val_AUC"": 0.7108}, {""params"": {""max_depth"": 3, ""learning_rate"": 0.1}, ""val_AUC"": 0.7062}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.05}, ""val_AUC"": 0.7102}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.1}, ""val_AUC"": 0.7001}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.05}, ""val_AUC"": 0.7085}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.1}, ""val_AUC"": 0.6879}]"
6,structured,RandomForest,23736,5935,"{""min_samples_leaf"": 10}",0.7141,"[{""params"": {""min_samples_leaf"": 10}, ""val_AUC"": 0.7141}, {""params"": {""min_samples_leaf"": 20}, ""val_AUC"": 0.7124}, {""params"": {""min_samples_leaf"": 50}, ""val_AUC"": 0.7101}]"
6,tfidf_full,Logistic,23736,5935,"{""C"": 1}",0.7154,"[{""params"": {""C"": 0.01}, ""val_AUC"": 0.7125}, {""params"": {""C"": 0.03}, ""val_AUC"": 0.7136}, {""params"": {""C"": 0.1}, ""val_AUC"": 0.7148}, {""params"": {""C"": 0.3}, ""val_AUC"": 0.7152}, {""params"": {""C"": 1}, ""val_AUC"": 0.7154}]"
6,tfidf_full,XGBoost,23736,5935,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.7131,"[{""params"": {""max_depth"": 3, ""learning_rate"": 0.05}, ""val_AUC"": 0.7131}, {""params"": {""max_depth"": 3, ""learning_rate"": 0.1}, ""val_AUC"": 0.7038}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.05}, ""val_AUC"": 0.7104}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.1}, ""val_AUC"": 0.7015}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.05}, ""val_AUC"": 0.7044}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.1}, ""val_AUC"": 0.6916}]"
6,tfidf_full,RandomForest,23736,5935,"{""min_samples_leaf"": 10}",0.6983,"[{""params"": {""min_samples_leaf"": 10}, ""val_AUC"": 0.6983}, {""params"": {""min_samples_leaf"": 20}, ""val_AUC"": 0.6975}, {""params"": {""min_samples_leaf"": 50}, ""val_AUC"": 0.6965}]"
6,finbert_pca50,Logistic,23736,5935,"{""C"": 0.01}",0.7125,"[{""params"": {""C"": 0.01}, ""val_AUC"": 0.7125}, {""params"": {""C"": 0.03}, ""val_AUC"": 0.7124}, {""params"": {""C"": 0.1}, ""val_AUC"": 0.7124}, {""params"": {""C"": 0.3}, ""val_AUC"": 0.7124}, {""params"": {""C"": 1}, ""val_AUC"": 0.7124}]"
6,finbert_pca50,XGBoost,23736,5935,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.7097,"[{""params"": {""max_depth"": 3, ""learning_rate"": 0.05}, ""val_AUC"": 0.7097}, {""params"": {""max_depth"": 3, ""learning_rate"": 0.1}, ""val_AUC"": 0.6969}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.05}, ""val_AUC"": 0.7064}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.1}, ""val_AUC"": 0.6883}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.05}, ""val_AUC"": 0.6851}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.1}, ""val_AUC"": 0.668}]"
6,finbert_pca50,RandomForest,23736,5935,"{""min_samples_leaf"": 50}",0.7074,"[{""params"": {""min_samples_leaf"": 10}, ""val_AUC"": 0.7047}, {""params"": {""min_samples_leaf"": 20}, ""val_AUC"": 0.7073}, {""params"": {""min_samples_leaf"": 50}, ""val_AUC"": 0.7074}]"
7,structured,Logistic,29428,7358,"{""C"": 0.01}",0.6786,"[{""params"": {""C"": 0.01}, ""val_AUC"": 0.6786}, {""params"": {""C"": 0.03}, ""val_AUC"": 0.6783}, {""params"": {""C"": 0.1}, ""val_AUC"": 0.6783}, {""params"": {""C"": 0.3}, ""val_AUC"": 0.6783}, {""params"": {""C"": 1}, ""val_AUC"": 0.6783}]"
7,structured,XGBoost,29428,7358,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6761,"[{""params"": {""max_depth"": 3, ""learning_rate"": 0.05}, ""val_AUC"": 0.6761}, {""params"": {""max_depth"": 3, ""learning_rate"": 0.1}, ""val_AUC"": 0.6751}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.05}, ""val_AUC"": 0.675}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.1}, ""val_AUC"": 0.6668}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.05}, ""val_AUC"": 0.6699}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.1}, ""val_AUC"": 0.6597}]"
7,structured,RandomForest,29428,7358,"{""min_samples_leaf"": 10}",0.6742,"[{""params"": {""min_samples_leaf"": 10}, ""val_AUC"": 0.6742}, {""params"": {""min_samples_leaf"": 20}, ""val_AUC"": 0.6732}, {""params"": {""min_samples_leaf"": 50}, ""val_AUC"": 0.6729}]"
7,tfidf_full,Logistic,29428,7358,"{""C"": 1}",0.6834,"[{""params"": {""C"": 0.01}, ""val_AUC"": 0.68}, {""params"": {""C"": 0.03}, ""val_AUC"": 0.6814}, {""params"": {""C"": 0.1}, ""val_AUC"": 0.6827}, {""params"": {""C"": 0.3}, ""val_AUC"": 0.6832}, {""params"": {""C"": 1}, ""val_AUC"": 0.6834}]"
7,tfidf_full,XGBoost,29428,7358,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6766,"[{""params"": {""max_depth"": 3, ""learning_rate"": 0.05}, ""val_AUC"": 0.6766}, {""params"": {""max_depth"": 3, ""learning_rate"": 0.1}, ""val_AUC"": 0.6716}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.05}, ""val_AUC"": 0.6755}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.1}, ""val_AUC"": 0.6699}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.05}, ""val_AUC"": 0.6722}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.1}, ""val_AUC"": 0.6589}]"
7,tfidf_full,RandomForest,29428,7358,"{""min_samples_leaf"": 10}",0.6695,"[{""params"": {""min_samples_leaf"": 10}, ""val_AUC"": 0.6695}, {""params"": {""min_samples_leaf"": 20}, ""val_AUC"": 0.6672}, {""params"": {""min_samples_leaf"": 50}, ""val_AUC"": 0.6661}]"
