Term,Type,Document_Frequency,Distress
kid,Unigram,553,0
dept,Unigram,551,0
work year,Bigram,551,0
decrease,Unigram,550,0
price,Unigram,549,0
various,Unigram,549,0
add current,Bigram,548,0
schedule,Unigram,546,0
candidate,Unigram,543,0
happen,Unigram,543,0
lower apr,Bigram,541,0
eliminate credit,Bigram,538,0
add good,Bigram,537,0
government,Unigram,532,0
car repair,Bigram,531,0
individual,Unigram,531,0
rate add,Bigram,531,0
learn,Unigram,529,0
renovation,Unigram,528,0
time payment,Bigram,528,0
american,Unigram,527,0
stop,Unigram,527,0
purchase new,Bigram,526,0
unfortunately,Unigram,526,0
manner,Unigram,525,0
greatly appreciate,Bigram,522,0
plan credit,Bigram,521,0
proceed,Unigram,521,0
year time,Bigram,520,0
bank america,Bigram,519,0
acquire,Unigram,518,0
strong,Unigram,518,0
realize,Unigram,515,0
thank investor,Bigram,515,0
card debit,Bigram,514,0
prior,Unigram,514,0
retire,Unigram,513,0
year credit,Bigram,512,0
avoid,Unigram,511,0
good job,Bigram,509,0
just try,Bigram,509,0
add stable,Bigram,508,0
wait,Unigram,508,0
high apr,Bigram,507,0
card save,Bigram,506,0
current employer,Bigram,506,0
net,Unigram,506,0
extra money,Bigram,504,0
successful,Unigram,503,0
month add,Bigram,502,0
great credit,Bigram,501,0
add car,Bigram,500,0
month credit,Bigram,500,0
nice,Unigram,500,0
rat credit,Bigram,499,0
unsecured,Unigram,499,0
break,Unigram,498,0
fund credit,Bigram,498,0
foot,Unigram,497,0
add apply,Bigram,496,0
rental,Unigram,496,0
try credit,Bigram,496,0
enjoy,Unigram,495,0
worry,Unigram,494,0
basement,Unigram,492,0
consolidate make,Bigram,492,0
card currently,Bigram,491,0
add add,Bigram,490,0
catch,Unigram,490,0
make easier,Bigram,490,0
thank invest,Bigram,490,0
ability,Unigram,489,0
stress,Unigram,488,0
payoff high,Bigram,487,0
year work,Bigram,486,0
fall,Unigram,483,0
payment just,Bigram,483,0
rate card,Bigram,483,0
application,Unigram,482,0
contract,Unigram,482,0
appliance,Unigram,481,0
long term,Bigram,481,0
portion,Unigram,480,0
didn,Unigram,478,0
management,Unigram,477,0
customer,Unigram,476,0
send,Unigram,476,0
nearly,Unigram,475,0
payment help,Bigram,474,0
federal,Unigram,473,0
entire,Unigram,472,0
approx,Unigram,471,0
quite,Unigram,470,0
card home,Bigram,469,0
irs,Unigram,469,0
near,Unigram,468,0
add medical,Bigram,467,0
minor,Unigram,467,0
monthly income,Bigram,466,0
firm,Unigram,464,0
transfer,Unigram,464,0
manager,Unigram,463,0
able make,Bigram,460,0
high card,Bigram,459,0
purpose consolidate,Bigram,459,0
private,Unigram,458,0
ratio,Unigram,457,0
start new,Bigram,457,0
fast,Unigram,456,0
payment plan,Bigram,455,0
add tell,Bigram,454,0
university,Unigram,453,0
deposit,Unigram,452,0
condition,Unigram,451,0
payment allow,Bigram,451,0
soon possible,Bigram,451,0
cause,Unigram,450,0
necessary,Unigram,450,0
local,Unigram,449,0
free ask,Bigram,448,0
need new,Bigram,448,0
review,Unigram,448,0
hand,Unigram,447,0
tell story,Bigram,447,0
card payoff,Bigram,446,0
final,Unigram,446,0
zero,Unigram,446,0
time month,Bigram,444,0
city,Unigram,443,0
new roof,Bigram,443,0
plan consolidate,Bigram,443,0
prefer,Unigram,442,0
wed expense,Bigram,442,0
year make,Bigram,442,0
internet,Unigram,441,0
payment save,Bigram,441,0
add goal,Bigram,440,0
case,Unigram,440,0
bonus,Unigram,439,0
lump,Unigram,439,0
want high,Bigram,439,0
hour,Unigram,438,0
couple credit,Bigram,437,0
profit,Unigram,437,0
progress,Unigram,436,0
short term,Bigram,436,0
great job,Bigram,435,0
larger,Unigram,433,0
level,Unigram,433,0
range,Unigram,433,0
secure job,Bigram,432,0
year year,Bigram,431,0
air,Unigram,430,0
attempt,Unigram,430,0
just look,Bigram,430,0
small business,Bigram,430,0
worth,Unigram,430,0
payment payment,Bigram,429,0
sum,Unigram,429,0
installment,Unigram,428,0
light,Unigram,427,0
fact,Unigram,426,0
idea,Unigram,426,0
mind,Unigram,426,0
outstanding credit,Bigram,426,0
card good,Bigram,425,0
look credit,Bigram,423,0
financial situation,Bigram,421,0
double,Unigram,420,0
ring,Unigram,420,0
help add,Bigram,419,0
law,Unigram,418,0
unit,Unigram,417,0
benefit,Unigram,413,0
card apr,Bigram,413,0
site,Unigram,413,0
use purchase,Bigram,413,0
ask question,Bigram,412,0
express,Unigram,411,0
affordable,Unigram,410,0
annual,Unigram,409,0
card reduce,Bigram,408,0
job work,Bigram,408,0
significantly,Unigram,408,0
use consolidation,Bigram,408,0
family member,Bigram,407,0
office,Unigram,407,0
utilize,Unigram,407,0
add exist,Bigram,406,0
house year,Bigram,405,0
card need,Bigram,404,0
help thank,Bigram,404,0
huge,Unigram,403,0
month payment,Bigram,403,0
help family,Bigram,402,0
decision,Unigram,401,0
earlier,Unigram,401,0
read,Unigram,401,0
time add,Bigram,400,0
buy new,Bigram,399,0
appreciate help,Bigram,397,0
relocate,Unigram,395,0
union,Unigram,395,0
tuition,Unigram,394,0
want free,Bigram,394,0
expensive,Unigram,392,0
fence,Unigram,392,0
handle,Unigram,392,0
small credit,Bigram,392,0
add allow,Bigram,391,0
money consolidate,Bigram,391,0
month thank,Bigram,391,0
relate,Unigram,391,0
significant,Unigram,391,0
responsibility,Unigram,389,0
card small,Bigram,388,0
live expense,Bigram,388,0
event,Unigram,387,0
want use,Bigram,387,0
don want,Bigram,386,0
effort,Unigram,386,0
potential,Unigram,386,0
shorter,Unigram,386,0
young,Unigram,386,0
business year,Bigram,385,0
couple year,Bigram,383,0
location,Unigram,383,0
primary,Unigram,383,0
self,Unigram,382,0
time thank,Bigram,382,0
carpet,Unigram,381,0
financial freedom,Bigram,381,0
heat,Unigram,381,0
principal,Unigram,381,0
timely manner,Bigram,381,0
ensure,Unigram,380,0
estate,Unigram,380,0
landscape,Unigram,379,0
card faster,Bigram,378,0
job secure,Bigram,378,0
lay,Unigram,378,0
mistake,Unigram,378,0
use car,Bigram,378,0
employ company,Bigram,377,0
later,Unigram,377,0
new job,Bigram,376,0
car credit,Bigram,375,0
year job,Bigram,375,0
add monthly,Bigram,374,0
card work,Bigram,374,0
help fund,Bigram,374,0
safe,Unigram,374,0
asap,Unigram,373,1
consumer,Unigram,373,0
shop,Unigram,373,0
add intend,Bigram,372,0
baby,Unigram,372,0
citi,Unigram,372,0
borrow money,Bigram,371,0
load,Unigram,371,0
advantage,Unigram,370,0
damage,Unigram,370,0
add really,Bigram,369,0
card allow,Bigram,369,0
let know,Bigram,369,0
computer,Unigram,368,0
pretty,Unigram,368,0
accomplish,Unigram,366,0
hard work,Bigram,366,0
high balance,Bigram,366,0
money month,Bigram,365,0
good stand,Bigram,364,0
rate lower,Bigram,364,0
book,Unigram,363,0
card card,Bigram,363,0
father,Unigram,363,0
mile,Unigram,363,0
trip,Unigram,363,0
engineer,Unigram,362,0
paycheck,Unigram,362,0
stability,Unigram,362,0
fresh start,Bigram,361,0
