zip3,share_black,share_hispanic,poverty_rate,median_income_approx,total_pop,poverty_decile,income_decile
242,0.02786047072936675,0.010555156535064,0.18529246065155952,36288.06414262936,196144.75,8.0,1.0
243,0.02714524631680435,0.0242223209020483,0.1725743976805486,36590.9588603703,152002.0,8.0,1.0
244,0.06053534099016735,0.020613223340902348,0.12468735731255104,45971.5357598908,143201.75,4.0,4.0
245,0.24078825854504382,0.02119041975047195,0.16548681621458353,43149.52531436123,379519.5,7.0,3.0
246,0.0246874169467751,0.0054046227968910995,0.19935297901953186,34753.32312641841,70641.25,9.0,1.0
247,0.05909821458815157,0.007882441154579076,0.20863124566633676,34836.49844684423,60872.75,9.0,1.0
248,0.05691817011227303,0.0033227501421609247,0.2767912180224886,29326.033828184984,38512.0,10.0,1.0
249,0.02507408288872695,0.013227544084199273,0.1641218488632724,39103.362830096485,53573.0,7.0,2.0
250,0.02135191791259445,0.00752522112466345,0.15640916697604956,42058.16837447067,68441.25,6.0,3.0
251,0.02539610787314495,0.007831274576459525,0.1678712190938614,42142.84369239572,75705.75,7.0,3.0
252,0.0034194673429926497,0.00394968709999865,0.18738516036715924,39539.29590975217,58168.75,8.0,2.0
253,0.050247654531538996,0.010719694842032449,0.14082709611685865,48222.12947525295,117368.75,5.0,5.0
254,0.060412224937137826,0.03808462338669277,0.12393375328973671,55181.43376104477,178724.0,4.0,7.0
255,0.0059664409148816756,0.0067297782568125,0.16495855979270235,45387.19059929504,141182.0,7.0,4.0
256,0.024603912664422575,0.005992835209706925,0.2192142907130966,36589.2899754217,51405.0,10.0,1.0
257,0.05669756734621695,0.011773671920613024,0.23927636554353698,34887.0973819646,75988.25,10.0,1.0
258,0.08022675817758275,0.013032189803324825,0.1757136952459238,39081.69518335324,90608.75,8.0,2.0
259,0.027420340540602,0.008877088600688175,0.19736948714067734,33830.69572617634,44861.5,9.0,1.0
260,0.02257299070520475,0.009189941975915324,0.1504169205984444,40450.056622745185,131918.5,6.0,2.0
261,0.00809703845718095,0.0072416886045945,0.16457307444066488,41216.54370177784,132332.25,7.0,2.0
262,0.0080483709935757,0.006438220129330825,0.18003884876689374,36323.38555200361,84589.0,8.0,1.0
263,0.022585560180818674,0.0142225869541718,0.17570938256780094,41778.631181392826,89597.0,8.0,2.0
264,0.0078711270501642,0.007511940302630275,0.20173573659745872,36839.149742049376,58862.5,9.0,1.0
265,0.0353574719240297,0.01562320395796235,0.18099440634134983,42886.985516908375,177305.25,8.0,3.0
266,0.003427242971067525,0.0034552777332697,0.17480752688620438,40076.411388655695,31988.25,8.0,2.0
267,0.020037835530360575,0.007933609651755075,0.16662463260677168,33503.710516335035,55860.75,7.0,1.0
268,0.020299004874015026,0.019263916119493525,0.15823322725275304,35925.341815842585,33058.5,6.0,1.0
270,0.06269537922815202,0.06123910241773127,0.1484306939891878,47919.97250954261,288214.5,6.0,5.0
271,0.31634962911008235,0.14010871024211308,0.20590509699638837,42163.74384769924,252573.0,9.0,3.0
272,0.1704748419903231,0.09420061037109162,0.16472242813140509,45051.6765837672,579631.25,7.0,4.0
273,0.15709353407196106,0.09255638754942867,0.16043668685181117,48155.01056316849,385006.5,7.0,5.0
274,0.36251793890698203,0.07200782155637897,0.17805017916667834,45045.03644447483,305235.0,8.0,4.0
275,0.1962788409356181,0.08749971436207322,0.13040624899501255,61222.621090737644,1071699.5,4.0,9.0
276,0.2591132024923574,0.1060951489404212,0.1366989946883546,60546.250034417884,496336.0,5.0,8.0
277,0.3765740948794453,0.13822893798515395,0.17912276056187307,50958.07666219038,260332.5,8.0,6.0
278,0.4041021259783444,0.0555025424213635,0.22267592596411956,38825.854919641184,551279.75,10.0,2.0
279,0.295106315372565,0.03687096394518503,0.16821621921575705,46019.5302092424,197760.5,7.0,4.0
280,0.12790809322227517,0.06958513466689567,0.14391070950024407,51938.25650784056,672644.0,5.0,7.0
281,0.14691379044007505,0.06986625611288533,0.13087597995011382,54132.89992232554,588747.75,4.0,7.0
282,0.33331346453397404,0.12953115238385293,0.15744183310218332,56622.13631808787,807320.5,6.0,8.0
283,0.2977658284780598,0.09812100882123573,0.2085575883288475,40612.60566430221,832668.75,9.0,2.0
284,0.17358686700200507,0.05993060354720338,0.1799132156155959,45914.77859316864,476192.75,8.0,4.0
285,0.2079806952860941,0.08232267059975408,0.1581646778376707,44680.63356550095,495389.25,6.0,4.0
286,0.06670845242766663,0.06367876317227232,0.18530033478099034,38813.88078180486,633050.75,8.0,2.0
287,0.02529252134714515,0.056966177457168074,0.15856160694200616,42647.1942176312,538989.5,6.0,3.0
288,0.09750631732011295,0.06016802957084165,0.1814301210720462,43053.11919692856,120255.25,8.0,3.0
