fold,Arm,Model,Feature,Kind,Importance_raw,Importance_share,Rank,Chi2_Score
5,Structured+TFIDF_chi2,XGBoost,txt:presbyterian,tfidf,0.0,0.0,327,1.949
5,Structured+TFIDF_chi2,XGBoost,txt:pretty good,tfidf,24.52042,0.004583,86,2.6
5,Structured+TFIDF_chi2,XGBoost,txt:process moving,tfidf,15.977734,0.002986,195,1.527
5,Structured+TFIDF_chi2,XGBoost,txt:product,tfidf,21.343561,0.003989,130,1.638
5,Structured+TFIDF_chi2,XGBoost,txt:productive,tfidf,18.58676,0.003474,179,3.212
5,Structured+TFIDF_chi2,XGBoost,txt:properly,tfidf,0.0,0.0,363,1.762
5,Structured+TFIDF_chi2,XGBoost,txt:prospect,tfidf,20.981239,0.003922,135,3.708
5,Structured+TFIDF_chi2,XGBoost,txt:provision,tfidf,0.0,0.0,364,2.819
5,Structured+TFIDF_chi2,XGBoost,txt:pseg,tfidf,15.193829,0.00284,202,3.761
5,Structured+TFIDF_chi2,XGBoost,txt:public record,tfidf,0.0,0.0,365,1.604
5,Structured+TFIDF_chi2,XGBoost,txt:quality,tfidf,25.18763,0.004708,77,2.192
5,Structured+TFIDF_chi2,XGBoost,txt:radiology,tfidf,0.0,0.0,366,4.89
5,Structured+TFIDF_chi2,XGBoost,txt:ralph,tfidf,0.0,0.0,367,7.227
5,Structured+TFIDF_chi2,XGBoost,txt:ran credit,tfidf,15.827496,0.002958,196,1.565
5,Structured+TFIDF_chi2,XGBoost,txt:ranger,tfidf,0.0,0.0,368,1.743
5,Structured+TFIDF_chi2,XGBoost,txt:rate job,tfidf,0.0,0.0,369,2.085
5,Structured+TFIDF_chi2,XGBoost,txt:really work,tfidf,20.432171,0.003819,143,3.312
5,Structured+TFIDF_chi2,XGBoost,txt:reason able,tfidf,0.0,0.0,450,2.026
5,Structured+TFIDF_chi2,XGBoost,txt:receipt,tfidf,0.0,0.0,419,1.729
5,Structured+TFIDF_chi2,XGBoost,txt:receive fund,tfidf,0.0,0.0,420,2.098
5,Structured+TFIDF_chi2,XGBoost,txt:recover,tfidf,0.0,0.0,421,1.717
5,Structured+TFIDF_chi2,XGBoost,txt:recreation,tfidf,0.0,0.0,422,1.609
5,Structured+TFIDF_chi2,XGBoost,txt:refer,tfidf,0.0,0.0,423,1.859
5,Structured+TFIDF_chi2,XGBoost,txt:refi,tfidf,24.295464,0.004541,89,1.552
5,Structured+TFIDF_chi2,XGBoost,txt:refinance,tfidf,32.083111,0.005997,20,1.867
5,Structured+TFIDF_chi2,XGBoost,txt:regency,tfidf,0.0,0.0,424,2.33
5,Structured+TFIDF_chi2,XGBoost,txt:relocate,tfidf,0.0,0.0,425,2.136
5,Structured+TFIDF_chi2,XGBoost,txt:requesting funding,tfidf,0.0,0.0,426,2.18
5,Structured+TFIDF_chi2,XGBoost,txt:rest debt,tfidf,0.0,0.0,427,2.098
5,Structured+TFIDF_chi2,XGBoost,txt:revenue,tfidf,20.773764,0.003883,139,1.524
5,Structured+TFIDF_chi2,XGBoost,txt:revenue service,tfidf,0.0,0.0,428,2.229
5,Structured+TFIDF_chi2,XGBoost,txt:richard,tfidf,0.0,0.0,429,2.188
5,Structured+TFIDF_chi2,XGBoost,txt:ring,tfidf,34.903488,0.006524,12,5.277
5,Structured+TFIDF_chi2,XGBoost,txt:risk pay,tfidf,17.18854,0.003213,188,2.8
5,Structured+TFIDF_chi2,XGBoost,txt:roi,tfidf,0.0,0.0,498,1.739
5,Structured+TFIDF_chi2,XGBoost,txt:room addition,tfidf,0.0,0.0,467,1.825
5,Structured+TFIDF_chi2,XGBoost,txt:sacred,tfidf,12.953568,0.002421,212,1.649
5,Structured+TFIDF_chi2,XGBoost,txt:salary,tfidf,36.35569,0.006795,11,1.656
5,Structured+TFIDF_chi2,XGBoost,txt:samaritan,tfidf,0.0,0.0,469,1.923
5,Structured+TFIDF_chi2,XGBoost,txt:sarah,tfidf,0.0,0.0,470,8.433
5,Structured+TFIDF_chi2,XGBoost,txt:satisfy,tfidf,18.074522,0.003378,182,3.638
5,Structured+TFIDF_chi2,XGBoost,txt:save lower,tfidf,0.0,0.0,472,1.962
5,Structured+TFIDF_chi2,XGBoost,txt:save money,tfidf,30.548882,0.00571,30,1.525
5,Structured+TFIDF_chi2,XGBoost,txt:saver,tfidf,0.0,0.0,473,2.224
5,Structured+TFIDF_chi2,XGBoost,txt:school consolidate,tfidf,0.0,0.0,474,1.839
5,Structured+TFIDF_chi2,XGBoost,txt:secure pay,tfidf,0.0,0.0,475,5.656
5,Structured+TFIDF_chi2,XGBoost,txt:select,tfidf,23.917519,0.00447,94,4.318
5,Structured+TFIDF_chi2,XGBoost,txt:service llc,tfidf,0.0,0.0,476,3.397
5,Structured+TFIDF_chi2,XGBoost,txt:servicing,tfidf,22.117453,0.004134,110,3.635
5,Structured+TFIDF_chi2,XGBoost,txt:shannon,tfidf,0.0,0.0,543,3.183
5,Structured+TFIDF_chi2,XGBoost,txt:sheet,tfidf,0.0,0.0,544,2.07
5,Structured+TFIDF_chi2,XGBoost,txt:sheet metal,tfidf,0.0,0.0,545,3.224
5,Structured+TFIDF_chi2,XGBoost,txt:shelter,tfidf,0.0,0.0,546,1.908
5,Structured+TFIDF_chi2,XGBoost,txt:sherwin,tfidf,0.0,0.0,515,1.993
5,Structured+TFIDF_chi2,XGBoost,txt:sherwin williams,tfidf,0.0,0.0,516,1.993
5,Structured+TFIDF_chi2,XGBoost,txt:short month,tfidf,0.0,0.0,517,2.306
5,Structured+TFIDF_chi2,XGBoost,txt:simple payment,tfidf,0.0,0.0,518,3.876
5,Structured+TFIDF_chi2,XGBoost,txt:singer,tfidf,0.0,0.0,519,2.969
5,Structured+TFIDF_chi2,XGBoost,txt:sister wedding,tfidf,0.0,0.0,520,2.071
5,Structured+TFIDF_chi2,XGBoost,txt:solar,tfidf,0.0,0.0,521,2.494
5,Structured+TFIDF_chi2,XGBoost,txt:soldier,tfidf,0.0,0.0,522,1.86
5,Structured+TFIDF_chi2,XGBoost,txt:square garden,tfidf,0.0,0.0,523,1.953
5,Structured+TFIDF_chi2,XGBoost,txt:stair,tfidf,0.0,0.0,524,2.726
5,Structured+TFIDF_chi2,XGBoost,txt:standard,tfidf,21.554262,0.004029,127,3.046
5,Structured+TFIDF_chi2,XGBoost,txt:starbucks,tfidf,0.0,0.0,525,10.392
5,Structured+TFIDF_chi2,XGBoost,txt:state highway,tfidf,0.0,0.0,577,4.176
5,Structured+TFIDF_chi2,XGBoost,txt:state post,tfidf,18.620493,0.00348,178,2.264
5,Structured+TFIDF_chi2,XGBoost,txt:state postal,tfidf,0.0,0.0,547,1.89
5,Structured+TFIDF_chi2,XGBoost,txt:steel,tfidf,22.15197,0.00414,109,5.997
5,Structured+TFIDF_chi2,XGBoost,txt:stream,tfidf,0.0,0.0,548,2.178
5,Structured+TFIDF_chi2,XGBoost,txt:stress,tfidf,28.133116,0.005258,47,3.001
5,Structured+TFIDF_chi2,XGBoost,txt:stress free,tfidf,0.0,0.0,549,3.632
5,Structured+TFIDF_chi2,XGBoost,txt:stryker,tfidf,0.0,0.0,550,3.121
5,Structured+TFIDF_chi2,XGBoost,txt:suitable,tfidf,0.0,0.0,551,5.076
5,Structured+TFIDF_chi2,XGBoost,txt:supply company,tfidf,0.0,0.0,552,4.11
5,Structured+TFIDF_chi2,XGBoost,txt:support far,tfidf,0.0,0.0,553,1.539
5,Structured+TFIDF_chi2,XGBoost,txt:sure paid,tfidf,0.0,0.0,554,1.542
5,Structured+TFIDF_chi2,XGBoost,txt:surgeon,tfidf,0.0,0.0,555,1.962
5,Structured+TFIDF_chi2,XGBoost,txt:surgery center,tfidf,0.0,0.0,556,3.153
5,Structured+TFIDF_chi2,XGBoost,txt:survive,tfidf,0.0,0.0,557,1.573
5,Structured+TFIDF_chi2,XGBoost,txt:talent,tfidf,0.0,0.0,558,3.248
5,Structured+TFIDF_chi2,XGBoost,txt:telephone,tfidf,27.744278,0.005186,48,1.667
5,Structured+TFIDF_chi2,XGBoost,txt:temporarily,tfidf,0.0,0.0,592,3.059
5,Structured+TFIDF_chi2,XGBoost,txt:tennis,tfidf,0.0,0.0,593,1.589
5,Structured+TFIDF_chi2,XGBoost,txt:thats,tfidf,21.121277,0.003948,131,1.923
5,Structured+TFIDF_chi2,XGBoost,txt:thing help,tfidf,0.0,0.0,594,1.781
5,Structured+TFIDF_chi2,XGBoost,txt:tomorrow,tfidf,25.658703,0.004796,71,1.614
5,Structured+TFIDF_chi2,XGBoost,txt:track consolidation,tfidf,0.0,0.0,563,2.448
5,Structured+TFIDF_chi2,XGBoost,txt:trade,tfidf,26.418669,0.004938,59,2.266
5,Structured+TFIDF_chi2,XGBoost,txt:trailer,tfidf,25.606085,0.004786,73,2.111
5,Structured+TFIDF_chi2,XGBoost,txt:transplant,tfidf,0.0,0.0,564,1.884
5,Structured+TFIDF_chi2,XGBoost,txt:trustworthy,tfidf,21.826031,0.00408,119,1.65
5,Structured+TFIDF_chi2,XGBoost,txt:uncomfortable,tfidf,0.0,0.0,565,3.514
5,Structured+TFIDF_chi2,XGBoost,txt:underground,tfidf,19.79707,0.0037,162,2.983
5,Structured+TFIDF_chi2,XGBoost,txt:united nation,tfidf,23.951107,0.004477,93,10.087
5,Structured+TFIDF_chi2,XGBoost,txt:university,tfidf,30.354462,0.005674,32,2.177
5,Structured+TFIDF_chi2,XGBoost,txt:university colorado,tfidf,24.550106,0.004589,85,3.1
5,Structured+TFIDF_chi2,XGBoost,txt:upgrade kitchen,tfidf,0.0,0.0,595,2.731
5,Structured+TFIDF_chi2,XGBoost,txt:ups,tfidf,23.645119,0.00442,96,6.487
5,Structured+TFIDF_chi2,XGBoost,txt:used debt,tfidf,0.0,0.0,612,1.525
5,Structured+TFIDF_chi2,XGBoost,txt:used wedding,tfidf,23.299885,0.004355,99,1.549
5,Structured+TFIDF_chi2,XGBoost,txt:using lower,tfidf,0.0,0.0,613,1.965
5,Structured+TFIDF_chi2,XGBoost,txt:usmc,tfidf,0.0,0.0,614,1.963
5,Structured+TFIDF_chi2,XGBoost,txt:utilites,tfidf,0.0,0.0,615,2.483
5,Structured+TFIDF_chi2,XGBoost,txt:vacation vacation,tfidf,19.63216,0.003669,164,2.832
5,Structured+TFIDF_chi2,XGBoost,txt:vaction,tfidf,19.857517,0.003712,161,1.801
5,Structured+TFIDF_chi2,XGBoost,txt:verizon communication,tfidf,0.0,0.0,616,4.766
5,Structured+TFIDF_chi2,XGBoost,txt:visit,tfidf,25.606287,0.004786,72,1.615
5,Structured+TFIDF_chi2,XGBoost,txt:walked,tfidf,0.0,0.0,617,1.941
5,Structured+TFIDF_chi2,XGBoost,txt:walmart,tfidf,28.425159,0.005313,41,8.459
5,Structured+TFIDF_chi2,XGBoost,txt:warner,tfidf,0.0,0.0,618,1.624
5,Structured+TFIDF_chi2,XGBoost,txt:water,tfidf,27.118055,0.005069,53,1.597
5,Structured+TFIDF_chi2,XGBoost,txt:way home,tfidf,0.0,0.0,620,2.764
5,Structured+TFIDF_chi2,XGBoost,txt:way work,tfidf,0.0,0.0,609,1.745
5,Structured+TFIDF_chi2,XGBoost,txt:went year,tfidf,0.0,0.0,540,2.616
5,Structured+TFIDF_chi2,XGBoost,txt:whats,tfidf,18.924519,0.003537,174,2.484
5,Structured+TFIDF_chi2,XGBoost,txt:whitney,tfidf,0.0,0.0,438,4.374
5,Structured+TFIDF_chi2,XGBoost,txt:witch,tfidf,0.0,0.0,436,2.601
5,Structured+TFIDF_chi2,XGBoost,txt:work health,tfidf,0.0,0.0,431,2.699
5,Structured+TFIDF_chi2,XGBoost,txt:work needed,tfidf,0.0,0.0,417,2.33
5,Structured+TFIDF_chi2,XGBoost,txt:work place,tfidf,20.277645,0.00379,148,1.628
5,Structured+TFIDF_chi2,XGBoost,txt:work really,tfidf,20.371574,0.003808,145,1.524
5,Structured+TFIDF_chi2,XGBoost,txt:work school,tfidf,26.35907,0.004927,61,3.352
5,Structured+TFIDF_chi2,XGBoost,txt:worked employer,tfidf,21.36652,0.003994,129,1.888
5,Structured+TFIDF_chi2,XGBoost,txt:worker,tfidf,22.784096,0.004259,104,1.659
5,Structured+TFIDF_chi2,XGBoost,txt:wow,tfidf,0.0,0.0,626,1.628
5,Structured+TFIDF_chi2,XGBoost,txt:year account,tfidf,0.0,0.0,606,3.137
5,Structured+TFIDF_chi2,XGBoost,txt:year son,tfidf,0.0,0.0,611,2.209
5,Structured+TFIDF_chi2,XGBoost,txt:zone,tfidf,0.0,0.0,481,1.578
