fold,arm,config,Model,n_train,n_test,n_defaults,AUC,PR_AUC,Brier,GINI
8,fb768,grid,RandomForest,45976,3713,681,0.6643,0.2833,0.217,0.3286
8,pca50,fixed,Logistic,45976,3713,681,0.6888,0.3336,0.2613,0.3777
8,pca50,fixed,XGBoost,45976,3713,681,0.6917,0.3267,0.2348,0.3834
8,pca50,fixed,RandomForest,45976,3713,681,0.6821,0.3123,0.1959,0.3642
8,pca50,grid,Logistic,45976,3713,681,0.6888,0.3341,0.2612,0.3776
8,pca50,grid,XGBoost,45976,3713,681,0.6924,0.3352,0.2455,0.3848
8,pca50,grid,RandomForest,45976,3713,681,0.6821,0.315,0.2223,0.3642
9,structured,fixed,Logistic,59483,5975,919,0.6995,0.2809,0.2315,0.399
9,structured,fixed,XGBoost,59483,5975,919,0.7047,0.2893,0.2046,0.4095
9,structured,fixed,RandomForest,59483,5975,919,0.7043,0.2937,0.1918,0.4086
9,structured,grid,Logistic,59483,5975,919,0.6995,0.2809,0.2315,0.399
9,structured,grid,XGBoost,59483,5975,919,0.7047,0.2893,0.2046,0.4095
9,structured,grid,RandomForest,59483,5975,919,0.7046,0.298,0.1648,0.4092
9,fb768,fixed,Logistic,59483,5975,919,0.6877,0.2799,0.2347,0.3754
9,fb768,fixed,XGBoost,59483,5975,919,0.7035,0.2976,0.2224,0.407
9,fb768,fixed,RandomForest,59483,5975,919,0.6598,0.2389,0.1879,0.3195
9,fb768,grid,Logistic,59483,5975,919,0.6888,0.2805,0.2344,0.3777
9,fb768,grid,XGBoost,59483,5975,919,0.7088,0.299,0.2366,0.4177
9,fb768,grid,RandomForest,59483,5975,919,0.6753,0.2529,0.2139,0.3506
9,pca50,fixed,Logistic,59483,5975,919,0.7015,0.2831,0.2307,0.4031
9,pca50,fixed,XGBoost,59483,5975,919,0.7029,0.2918,0.2134,0.4058
9,pca50,fixed,RandomForest,59483,5975,919,0.6969,0.276,0.1838,0.3938
9,pca50,grid,Logistic,59483,5975,919,0.7015,0.2831,0.2307,0.4031
9,pca50,grid,XGBoost,59483,5975,919,0.709,0.303,0.2231,0.4179
9,pca50,grid,RandomForest,59483,5975,919,0.6969,0.276,0.1838,0.3938
10,structured,fixed,Logistic,77872,5970,893,0.6922,0.2879,0.2203,0.3843
10,structured,fixed,XGBoost,77872,5970,893,0.6927,0.2859,0.2036,0.3854
10,structured,fixed,RandomForest,77872,5970,893,0.6926,0.2844,0.172,0.3852
10,structured,grid,Logistic,77872,5970,893,0.6922,0.2879,0.2203,0.3843
10,structured,grid,XGBoost,77872,5970,893,0.6934,0.2913,0.2104,0.3867
10,structured,grid,RandomForest,77872,5970,893,0.6933,0.2866,0.1507,0.3865
10,fb768,fixed,Logistic,77872,5970,893,0.6896,0.2864,0.2194,0.3792
10,fb768,fixed,XGBoost,77872,5970,893,0.6904,0.295,0.2059,0.3808
10,fb768,fixed,RandomForest,77872,5970,893,0.6765,0.263,0.1748,0.353
10,fb768,grid,Logistic,77872,5970,893,0.6901,0.2869,0.2192,0.3801
10,fb768,grid,XGBoost,77872,5970,893,0.6943,0.2952,0.2134,0.3886
10,fb768,grid,RandomForest,77872,5970,893,0.6868,0.2769,0.2001,0.3736
10,pca50,fixed,Logistic,77872,5970,893,0.6945,0.2959,0.2201,0.3889
10,pca50,fixed,XGBoost,77872,5970,893,0.6936,0.2944,0.2039,0.3873
10,pca50,fixed,RandomForest,77872,5970,893,0.6939,0.2838,0.1667,0.3878
10,pca50,grid,Logistic,77872,5970,893,0.6945,0.2959,0.2201,0.3889
10,pca50,grid,XGBoost,77872,5970,893,0.6946,0.2918,0.2115,0.3892
10,pca50,grid,RandomForest,77872,5970,893,0.6916,0.2786,0.1468,0.3833
11,structured,fixed,Logistic,98111,8184,1164,0.6917,0.2514,0.2297,0.3835
11,structured,fixed,XGBoost,98111,8184,1164,0.696,0.2661,0.2172,0.392
11,structured,fixed,RandomForest,98111,8184,1164,0.6909,0.2585,0.1762,0.3818
11,structured,grid,Logistic,98111,8184,1164,0.6917,0.2514,0.2297,0.3835
11,structured,grid,XGBoost,98111,8184,1164,0.698,0.2686,0.2177,0.396
11,structured,grid,RandomForest,98111,8184,1164,0.6909,0.2585,0.1762,0.3818
11,fb768,fixed,Logistic,98111,8184,1164,0.6929,0.2532,0.2281,0.3858
11,fb768,fixed,XGBoost,98111,8184,1164,0.6964,0.2644,0.2179,0.3928
11,fb768,fixed,RandomForest,98111,8184,1164,0.6746,0.2459,0.1809,0.3493
11,fb768,grid,Logistic,98111,8184,1164,0.6929,0.2531,0.2281,0.3858
11,fb768,grid,XGBoost,98111,8184,1164,0.6938,0.2634,0.2233,0.3876
11,fb768,grid,RandomForest,98111,8184,1164,0.6831,0.2547,0.2036,0.3661
11,pca50,fixed,Logistic,98111,8184,1164,0.6955,0.2547,0.229,0.391
11,pca50,fixed,XGBoost,98111,8184,1164,0.696,0.2683,0.2117,0.3919
11,pca50,fixed,RandomForest,98111,8184,1164,0.6911,0.2623,0.1701,0.3823
11,pca50,grid,Logistic,98111,8184,1164,0.6955,0.2547,0.229,0.391
11,pca50,grid,XGBoost,98111,8184,1164,0.6954,0.2657,0.2172,0.3908
11,pca50,grid,RandomForest,98111,8184,1164,0.6901,0.2619,0.197,0.3802
12,structured,fixed,Logistic,125865,10802,1739,0.7036,0.2958,0.2305,0.4072
12,structured,fixed,XGBoost,125865,10802,1739,0.7056,0.3047,0.2251,0.4112
12,structured,fixed,RandomForest,125865,10802,1739,0.6999,0.2997,0.1826,0.3998
12,structured,grid,Logistic,125865,10802,1739,0.7036,0.2958,0.2305,0.4072
12,structured,grid,XGBoost,125865,10802,1739,0.7046,0.3006,0.226,0.4092
12,structured,grid,RandomForest,125865,10802,1739,0.6985,0.2991,0.2079,0.3969
12,fb768,fixed,Logistic,125865,10802,1739,0.7031,0.296,0.2299,0.4061
12,fb768,fixed,XGBoost,125865,10802,1739,0.7042,0.299,0.2269,0.4084
12,fb768,fixed,RandomForest,125865,10802,1739,0.6815,0.2788,0.1938,0.3631
12,fb768,grid,Logistic,125865,10802,1739,0.7031,0.296,0.2299,0.4061
12,fb768,grid,XGBoost,125865,10802,1739,0.705,0.298,0.2276,0.4099
12,fb768,grid,RandomForest,125865,10802,1739,0.688,0.2841,0.2129,0.376
12,pca50,fixed,Logistic,125865,10802,1739,0.7054,0.2975,0.2305,0.4107
12,pca50,fixed,XGBoost,125865,10802,1739,0.7047,0.301,0.2222,0.4094
12,pca50,fixed,RandomForest,125865,10802,1739,0.6995,0.2998,0.1794,0.399
12,pca50,grid,Logistic,125865,10802,1739,0.7054,0.2975,0.2305,0.4107
12,pca50,grid,XGBoost,125865,10802,1739,0.7047,0.301,0.2222,0.4094
12,pca50,grid,RandomForest,125865,10802,1739,0.6995,0.2998,0.1794,0.399
13,structured,fixed,Logistic,161023,12846,2007,0.6946,0.2794,0.2322,0.3891
13,structured,fixed,XGBoost,161023,12846,2007,0.6968,0.2841,0.2267,0.3936
13,structured,fixed,RandomForest,161023,12846,2007,0.6895,0.2723,0.1827,0.379
13,structured,grid,Logistic,161023,12846,2007,0.6946,0.2794,0.2322,0.3891
13,structured,grid,XGBoost,161023,12846,2007,0.6974,0.2805,0.228,0.3949
13,structured,grid,RandomForest,161023,12846,2007,0.6893,0.2707,0.16,0.3786
13,fb768,fixed,Logistic,161023,12846,2007,0.6931,0.2798,0.2322,0.3863
13,fb768,fixed,XGBoost,161023,12846,2007,0.6953,0.2803,0.227,0.3906
13,fb768,fixed,RandomForest,161023,12846,2007,0.6766,0.2649,0.1915,0.3531
13,fb768,grid,Logistic,161023,12846,2007,0.6931,0.2798,0.2322,0.3863
13,fb768,grid,XGBoost,161023,12846,2007,0.6953,0.2803,0.227,0.3906
13,fb768,grid,RandomForest,161023,12846,2007,0.6823,0.2696,0.2107,0.3646
13,pca50,fixed,Logistic,161023,12846,2007,0.6968,0.2855,0.2321,0.3937
13,pca50,fixed,XGBoost,161023,12846,2007,0.6969,0.283,0.2276,0.3939
13,pca50,fixed,RandomForest,161023,12846,2007,0.6893,0.2721,0.1793,0.3786
13,pca50,grid,Logistic,161023,12846,2007,0.6968,0.2855,0.2321,0.3937
13,pca50,grid,XGBoost,161023,12846,2007,0.6969,0.283,0.2276,0.3939
13,pca50,grid,RandomForest,161023,12846,2007,0.6893,0.2721,0.1793,0.3786
14,structured,fixed,Logistic,202442,14845,2263,0.6997,0.2819,0.221,0.3995
14,structured,fixed,XGBoost,202442,14845,2263,0.7057,0.2888,0.2155,0.4114
14,structured,fixed,RandomForest,202442,14845,2263,0.704,0.287,0.1727,0.408
14,structured,grid,Logistic,202442,14845,2263,0.6997,0.2819,0.221,0.3995
14,structured,grid,XGBoost,202442,14845,2263,0.7064,0.2906,0.2164,0.4129
14,structured,grid,RandomForest,202442,14845,2263,0.704,0.287,0.1727,0.408
14,fb768,fixed,Logistic,202442,14845,2263,0.6997,0.2839,0.2214,0.3994
14,fb768,fixed,XGBoost,202442,14845,2263,0.705,0.2901,0.2159,0.41
14,fb768,fixed,RandomForest,202442,14845,2263,0.6872,0.2683,0.185,0.3745
14,fb768,grid,Logistic,202442,14845,2263,0.6997,0.2839,0.2214,0.3994
14,fb768,grid,XGBoost,202442,14845,2263,0.705,0.2901,0.2159,0.41
14,fb768,grid,RandomForest,202442,14845,2263,0.6954,0.2747,0.2031,0.3908
14,pca50,fixed,Logistic,202442,14845,2263,0.7005,0.2844,0.2214,0.4009
14,pca50,fixed,XGBoost,202442,14845,2263,0.7066,0.2924,0.2157,0.4132
14,pca50,fixed,RandomForest,202442,14845,2263,0.7024,0.2844,0.17,0.4048
14,pca50,grid,Logistic,202442,14845,2263,0.7004,0.2844,0.2214,0.4009
14,pca50,grid,XGBoost,202442,14845,2263,0.7069,0.2905,0.2165,0.4139
14,pca50,grid,RandomForest,202442,14845,2263,0.7024,0.2844,0.17,0.4048
